epoch,family,target,metric,score
1,density,0,r2,0.25
1,density,1,r2,0.112
1,density,2,r2,0.7229
1,density,3,r2,0.653
1,density,mean,r2,0.4345
2,density,0,r2,0.3005
2,density,1,r2,0.1398
2,density,2,r2,0.7636
2,density,3,r2,0.6733
2,density,mean,r2,0.4693
3,density,0,r2,0.3115
3,density,1,r2,0.1193
3,density,2,r2,0.7784
3,density,3,r2,0.7105
3,density,mean,r2,0.4799
4,density,0,r2,0.3085
4,density,1,r2,0.1416
4,density,2,r2,0.7559
4,density,3,r2,0.7247
4,density,mean,r2,0.4826
