epoch,family,target,metric,score
1,size,0,r2,0.6626
1,size,1,r2,0.2044
1,size,2,r2,0.3494
1,size,3,r2,0.3752
1,size,4,r2,0.4244
1,size,mean,r2,0.4032
2,size,0,r2,0.6816
2,size,1,r2,0.2782
2,size,2,r2,0.3953
2,size,3,r2,0.4604
2,size,4,r2,0.4634
2,size,mean,r2,0.4558
3,size,0,r2,0.6945
3,size,1,r2,0.2998
3,size,2,r2,0.3812
3,size,3,r2,0.478
3,size,4,r2,0.4409
3,size,mean,r2,0.4589
4,size,0,r2,0.7079
4,size,1,r2,0.3628
4,size,2,r2,0.4194
4,size,3,r2,0.4827
4,size,4,r2,0.5005
4,size,mean,r2,0.4947
