epoch,family,target,metric,score
1,density,0,r2,0.817
1,density,1,r2,0.6598
1,density,2,r2,0.9086
1,density,3,r2,0.8619
1,density,mean,r2,0.8118
2,density,0,r2,0.8265
2,density,1,r2,0.7763
2,density,2,r2,0.9407
2,density,3,r2,0.924
2,density,mean,r2,0.8669
3,density,0,r2,0.8403
3,density,1,r2,0.8311
3,density,2,r2,0.95
3,density,3,r2,0.934
3,density,mean,r2,0.8888
4,density,0,r2,0.8521
4,density,1,r2,0.8327
4,density,2,r2,0.9481
4,density,3,r2,0.9356
4,density,mean,r2,0.8921
5,density,0,r2,0.8434
5,density,1,r2,0.8521
5,density,2,r2,0.9512
5,density,3,r2,0.9295
5,density,mean,r2,0.8941
6,density,0,r2,0.8489
6,density,1,r2,0.8728
6,density,2,r2,0.9503
6,density,3,r2,0.929
6,density,mean,r2,0.9002
7,density,0,r2,0.8593
7,density,1,r2,0.8688
7,density,2,r2,0.952
7,density,3,r2,0.9411
7,density,mean,r2,0.9053
