epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9274
1,disease,Arterial wall calcification,auroc,0.9321
1,disease,Cardiomegaly,auroc,0.9279
1,disease,Pericardial effusion,auroc,0.8645
1,disease,Coronary artery wall calcification,auroc,0.9347
1,disease,Hiatal hernia,auroc,0.7122
1,disease,Lymphadenopathy,auroc,0.7449
1,disease,Emphysema,auroc,0.8082
1,disease,Atelectasis,auroc,0.8111
1,disease,Lung nodule,auroc,0.7405
1,disease,Lung opacity,auroc,0.8714
1,disease,Pulmonary fibrotic sequela,auroc,0.7443
1,disease,Pleural effusion,auroc,0.9672
1,disease,Mosaic attenuation pattern,auroc,0.8791
1,disease,Peribronchial thickening,auroc,0.8156
1,disease,Consolidation,auroc,0.9203
1,disease,Bronchiectasis,auroc,0.7929
1,disease,Interlobular septal thickening,auroc,0.8811
1,disease,macro,auroc,0.8486
1,disease,micro,auroc,0.857
2,disease,Medical material,auroc,0.9255
2,disease,Arterial wall calcification,auroc,0.9315
2,disease,Cardiomegaly,auroc,0.9301
2,disease,Pericardial effusion,auroc,0.8535
2,disease,Coronary artery wall calcification,auroc,0.9366
2,disease,Hiatal hernia,auroc,0.7059
2,disease,Lymphadenopathy,auroc,0.7608
2,disease,Emphysema,auroc,0.801
2,disease,Atelectasis,auroc,0.815
2,disease,Lung nodule,auroc,0.7425
2,disease,Lung opacity,auroc,0.8741
2,disease,Pulmonary fibrotic sequela,auroc,0.7398
2,disease,Pleural effusion,auroc,0.9697
2,disease,Mosaic attenuation pattern,auroc,0.8801
2,disease,Peribronchial thickening,auroc,0.8126
2,disease,Consolidation,auroc,0.9252
2,disease,Bronchiectasis,auroc,0.8008
2,disease,Interlobular septal thickening,auroc,0.8792
2,disease,macro,auroc,0.8491
2,disease,micro,auroc,0.861
3,disease,Medical material,auroc,0.9284
3,disease,Arterial wall calcification,auroc,0.9267
3,disease,Cardiomegaly,auroc,0.9259
3,disease,Pericardial effusion,auroc,0.8611
3,disease,Coronary artery wall calcification,auroc,0.9333
3,disease,Hiatal hernia,auroc,0.7061
3,disease,Lymphadenopathy,auroc,0.7578
3,disease,Emphysema,auroc,0.8039
3,disease,Atelectasis,auroc,0.8129
3,disease,Lung nodule,auroc,0.7347
3,disease,Lung opacity,auroc,0.8734
3,disease,Pulmonary fibrotic sequela,auroc,0.7485
3,disease,Pleural effusion,auroc,0.9673
3,disease,Mosaic attenuation pattern,auroc,0.889
3,disease,Peribronchial thickening,auroc,0.8116
3,disease,Consolidation,auroc,0.9225
3,disease,Bronchiectasis,auroc,0.8059
3,disease,Interlobular septal thickening,auroc,0.884
3,disease,macro,auroc,0.8496
3,disease,micro,auroc,0.8569
4,disease,Medical material,auroc,0.933
4,disease,Arterial wall calcification,auroc,0.9308
4,disease,Cardiomegaly,auroc,0.9315
4,disease,Pericardial effusion,auroc,0.8636
4,disease,Coronary artery wall calcification,auroc,0.935
4,disease,Hiatal hernia,auroc,0.7091
4,disease,Lymphadenopathy,auroc,0.7606
4,disease,Emphysema,auroc,0.8064
4,disease,Atelectasis,auroc,0.8033
4,disease,Lung nodule,auroc,0.7411
4,disease,Lung opacity,auroc,0.8741
4,disease,Pulmonary fibrotic sequela,auroc,0.7512
4,disease,Pleural effusion,auroc,0.9691
4,disease,Mosaic attenuation pattern,auroc,0.8884
4,disease,Peribronchial thickening,auroc,0.8137
4,disease,Consolidation,auroc,0.9232
4,disease,Bronchiectasis,auroc,0.8045
4,disease,Interlobular septal thickening,auroc,0.8861
4,disease,macro,auroc,0.8514
4,disease,micro,auroc,0.8623
5,disease,Medical material,auroc,0.9264
5,disease,Arterial wall calcification,auroc,0.9301
5,disease,Cardiomegaly,auroc,0.9299
5,disease,Pericardial effusion,auroc,0.8663
5,disease,Coronary artery wall calcification,auroc,0.9336
5,disease,Hiatal hernia,auroc,0.7125
5,disease,Lymphadenopathy,auroc,0.7635
5,disease,Emphysema,auroc,0.8153
5,disease,Atelectasis,auroc,0.8093
5,disease,Lung nodule,auroc,0.7377
5,disease,Lung opacity,auroc,0.8734
5,disease,Pulmonary fibrotic sequela,auroc,0.7595
5,disease,Pleural effusion,auroc,0.9678
5,disease,Mosaic attenuation pattern,auroc,0.8921
5,disease,Peribronchial thickening,auroc,0.8132
5,disease,Consolidation,auroc,0.922
5,disease,Bronchiectasis,auroc,0.8097
5,disease,Interlobular septal thickening,auroc,0.8833
5,disease,macro,auroc,0.8525
5,disease,micro,auroc,0.8602
6,disease,Medical material,auroc,0.9278
6,disease,Arterial wall calcification,auroc,0.9289
6,disease,Cardiomegaly,auroc,0.9269
6,disease,Pericardial effusion,auroc,0.8586
6,disease,Coronary artery wall calcification,auroc,0.9337
6,disease,Hiatal hernia,auroc,0.7117
6,disease,Lymphadenopathy,auroc,0.7636
6,disease,Emphysema,auroc,0.8114
6,disease,Atelectasis,auroc,0.8079
6,disease,Lung nodule,auroc,0.743
6,disease,Lung opacity,auroc,0.8743
6,disease,Pulmonary fibrotic sequela,auroc,0.7519
6,disease,Pleural effusion,auroc,0.966
6,disease,Mosaic attenuation pattern,auroc,0.895
6,disease,Peribronchial thickening,auroc,0.8112
6,disease,Consolidation,auroc,0.9217
6,disease,Bronchiectasis,auroc,0.7996
6,disease,Interlobular septal thickening,auroc,0.8877
6,disease,macro,auroc,0.8511
6,disease,micro,auroc,0.8656
7,disease,Medical material,auroc,0.9276
7,disease,Arterial wall calcification,auroc,0.9319
7,disease,Cardiomegaly,auroc,0.9288
7,disease,Pericardial effusion,auroc,0.8542
7,disease,Coronary artery wall calcification,auroc,0.9336
