epoch,family,target,metric,score
1,radiomics,0,r2,0.9021
1,radiomics,1,r2,0.2765
1,radiomics,2,r2,0.8549
1,radiomics,mean,r2,0.6778
2,radiomics,0,r2,0.9213
2,radiomics,1,r2,0.3019
2,radiomics,2,r2,0.8846
2,radiomics,mean,r2,0.7026
3,radiomics,0,r2,0.9199
3,radiomics,1,r2,0.3955
3,radiomics,2,r2,0.879
3,radiomics,mean,r2,0.7315
4,radiomics,0,r2,0.9183
4,radiomics,1,r2,0.3437
4,radiomics,2,r2,0.8809
4,radiomics,mean,r2,0.7143
5,radiomics,0,r2,0.9242
5,radiomics,1,r2,0.3713
5,radiomics,2,r2,0.8994
5,radiomics,mean,r2,0.7316
6,radiomics,0,r2,0.9233
6,radiomics,1,r2,0.4335
6,radiomics,2,r2,0.8944
6,radiomics,mean,r2,0.7504
7,radiomics,0,r2,0.9232
7,radiomics,1,r2,0.4903
7,radiomics,2,r2,0.9073
7,radiomics,mean,r2,0.7736
