epoch,family,target,metric,score
1,density,0,r2,0.8122
1,density,1,r2,0.6167
1,density,2,r2,0.9132
1,density,3,r2,0.8941
1,density,mean,r2,0.809
2,density,0,r2,0.8302
2,density,1,r2,0.7223
2,density,2,r2,0.9347
2,density,3,r2,0.9154
2,density,mean,r2,0.8507
3,density,0,r2,0.8382
3,density,1,r2,0.793
3,density,2,r2,0.9442
3,density,3,r2,0.9213
3,density,mean,r2,0.8742
4,density,0,r2,0.8303
4,density,1,r2,0.8225
4,density,2,r2,0.9397
4,density,3,r2,0.9247
4,density,mean,r2,0.8793
5,density,0,r2,0.8133
5,density,1,r2,0.8175
5,density,2,r2,0.9558
5,density,3,r2,0.9321
5,density,mean,r2,0.8796
6,density,0,r2,0.8349
6,density,1,r2,0.8496
6,density,2,r2,0.9577
6,density,3,r2,0.9319
6,density,mean,r2,0.8935
7,density,0,r2,0.8334
7,density,1,r2,0.8612
7,density,2,r2,0.9458
7,density,3,r2,0.9362
7,density,mean,r2,0.8942
8,density,0,r2,0.848
8,density,1,r2,0.8736
8,density,2,r2,0.9517
8,density,3,r2,0.9185
8,density,mean,r2,0.898
9,density,0,r2,0.843
9,density,1,r2,0.8794
9,density,2,r2,0.9589
9,density,3,r2,0.9399
9,density,mean,r2,0.9053
10,density,0,r2,0.8519
10,density,1,r2,0.8772
10,density,2,r2,0.9597
10,density,3,r2,0.939
10,density,mean,r2,0.9069
