epoch,family,target,metric,score
1,location,0,r2,0.0817
1,location,1,r2,0.104
1,location,2,r2,0.3233
1,location,mean,r2,0.1697
2,location,0,r2,0.0816
2,location,1,r2,0.1163
2,location,2,r2,0.3571
2,location,mean,r2,0.185
3,location,0,r2,0.1137
3,location,1,r2,0.1235
3,location,2,r2,0.3574
3,location,mean,r2,0.1982
4,location,0,r2,0.133
4,location,1,r2,0.1319
4,location,2,r2,0.3467
4,location,mean,r2,0.2039
5,location,0,r2,0.1197
5,location,1,r2,0.1282
5,location,2,r2,0.311
5,location,mean,r2,0.1863
6,location,0,r2,0.1309
6,location,1,r2,0.102
6,location,2,r2,0.3663
6,location,mean,r2,0.1997
7,location,0,r2,0.1624
7,location,1,r2,0.1241
7,location,2,r2,0.3569
7,location,mean,r2,0.2145
8,location,0,r2,0.0869
8,location,1,r2,0.1168
8,location,2,r2,0.3908
8,location,mean,r2,0.1982
9,location,0,r2,0.2047
9,location,1,r2,0.109
9,location,2,r2,0.3497
9,location,mean,r2,0.2211
10,location,0,r2,0.1413
10,location,1,r2,0.0532
10,location,2,r2,0.3937
10,location,mean,r2,0.1961
