epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9254
1,disease,Arterial wall calcification,auroc,0.9319
1,disease,Cardiomegaly,auroc,0.9252
1,disease,Pericardial effusion,auroc,0.8611
1,disease,Coronary artery wall calcification,auroc,0.934
1,disease,Hiatal hernia,auroc,0.7134
1,disease,Lymphadenopathy,auroc,0.7586
1,disease,Emphysema,auroc,0.8024
1,disease,Atelectasis,auroc,0.806
1,disease,Lung nodule,auroc,0.7401
1,disease,Lung opacity,auroc,0.8744
1,disease,Pulmonary fibrotic sequela,auroc,0.7442
1,disease,Pleural effusion,auroc,0.9695
1,disease,Mosaic attenuation pattern,auroc,0.8815
1,disease,Peribronchial thickening,auroc,0.8138
1,disease,Consolidation,auroc,0.9224
1,disease,Bronchiectasis,auroc,0.7742
1,disease,Interlobular septal thickening,auroc,0.8802
1,disease,macro,auroc,0.8477
1,disease,micro,auroc,0.8605
2,disease,Medical material,auroc,0.9262
2,disease,Arterial wall calcification,auroc,0.931
2,disease,Cardiomegaly,auroc,0.9299
2,disease,Pericardial effusion,auroc,0.8557
2,disease,Coronary artery wall calcification,auroc,0.9343
2,disease,Hiatal hernia,auroc,0.7205
2,disease,Lymphadenopathy,auroc,0.7568
2,disease,Emphysema,auroc,0.8063
2,disease,Atelectasis,auroc,0.8156
2,disease,Lung nodule,auroc,0.7379
2,disease,Lung opacity,auroc,0.8726
2,disease,Pulmonary fibrotic sequela,auroc,0.7462
2,disease,Pleural effusion,auroc,0.9699
2,disease,Mosaic attenuation pattern,auroc,0.8909
2,disease,Peribronchial thickening,auroc,0.8005
2,disease,Consolidation,auroc,0.9178
2,disease,Bronchiectasis,auroc,0.8016
2,disease,Interlobular septal thickening,auroc,0.8744
2,disease,macro,auroc,0.8493
2,disease,micro,auroc,0.8607
3,disease,Medical material,auroc,0.9271
3,disease,Arterial wall calcification,auroc,0.9303
3,disease,Cardiomegaly,auroc,0.9305
3,disease,Pericardial effusion,auroc,0.8597
3,disease,Coronary artery wall calcification,auroc,0.9354
3,disease,Hiatal hernia,auroc,0.7232
3,disease,Lymphadenopathy,auroc,0.7512
3,disease,Emphysema,auroc,0.81
3,disease,Atelectasis,auroc,0.8184
3,disease,Lung nodule,auroc,0.7434
3,disease,Lung opacity,auroc,0.8696
3,disease,Pulmonary fibrotic sequela,auroc,0.7452
3,disease,Pleural effusion,auroc,0.969
3,disease,Mosaic attenuation pattern,auroc,0.8858
3,disease,Peribronchial thickening,auroc,0.8075
3,disease,Consolidation,auroc,0.9204
3,disease,Bronchiectasis,auroc,0.8012
3,disease,Interlobular septal thickening,auroc,0.8832
3,disease,macro,auroc,0.8506
3,disease,micro,auroc,0.8579
4,disease,Medical material,auroc,0.9297
4,disease,Arterial wall calcification,auroc,0.9306
4,disease,Cardiomegaly,auroc,0.9292
4,disease,Pericardial effusion,auroc,0.8681
4,disease,Coronary artery wall calcification,auroc,0.9355
4,disease,Hiatal hernia,auroc,0.7123
