epoch,family,target,metric,score
1,radiomics,0,r2,0.904
1,radiomics,1,r2,0.2289
1,radiomics,2,r2,0.8488
1,radiomics,mean,r2,0.6605
2,radiomics,0,r2,0.9052
2,radiomics,1,r2,0.2839
2,radiomics,2,r2,0.8388
2,radiomics,mean,r2,0.676
3,radiomics,0,r2,0.9175
3,radiomics,1,r2,0.3341
3,radiomics,2,r2,0.876
3,radiomics,mean,r2,0.7092
4,radiomics,0,r2,0.9252
4,radiomics,1,r2,0.4694
4,radiomics,2,r2,0.8813
4,radiomics,mean,r2,0.7586
5,radiomics,0,r2,0.9243
5,radiomics,1,r2,0.341
5,radiomics,2,r2,0.8913
5,radiomics,mean,r2,0.7189
6,radiomics,0,r2,0.923
6,radiomics,1,r2,0.4158
6,radiomics,2,r2,0.8967
6,radiomics,mean,r2,0.7451
7,radiomics,0,r2,0.9259
7,radiomics,1,r2,0.38
7,radiomics,2,r2,0.9013
7,radiomics,mean,r2,0.7358
8,radiomics,0,r2,0.9214
8,radiomics,1,r2,0.4422
8,radiomics,2,r2,0.8911
8,radiomics,mean,r2,0.7516
9,radiomics,0,r2,0.928
9,radiomics,1,r2,0.5112
9,radiomics,2,r2,0.8988
9,radiomics,mean,r2,0.7794
10,radiomics,0,r2,0.9288
10,radiomics,1,r2,0.4463
10,radiomics,2,r2,0.8994
10,radiomics,mean,r2,0.7582
