epoch,family,target,metric,score
1,size,0,r2,0.8366
1,size,1,r2,0.5128
1,size,2,r2,0.4717
1,size,3,r2,0.614
1,size,4,r2,0.6728
1,size,mean,r2,0.6216
2,size,0,r2,0.8556
2,size,1,r2,0.5163
2,size,2,r2,0.4711
2,size,3,r2,0.6183
2,size,4,r2,0.7013
2,size,mean,r2,0.6325
3,size,0,r2,0.8413
3,size,1,r2,0.5396
3,size,2,r2,0.4864
3,size,3,r2,0.6286
3,size,4,r2,0.697
3,size,mean,r2,0.6386
4,size,0,r2,0.8474
4,size,1,r2,0.5432
4,size,2,r2,0.5022
4,size,3,r2,0.6347
4,size,4,r2,0.7185
4,size,mean,r2,0.6492
5,size,0,r2,0.8693
5,size,1,r2,0.5649
5,size,2,r2,0.4726
5,size,3,r2,0.6262
5,size,4,r2,0.72
5,size,mean,r2,0.6506
6,size,0,r2,0.8581
6,size,1,r2,0.5782
6,size,2,r2,0.5094
6,size,3,r2,0.6315
6,size,4,r2,0.7037
6,size,mean,r2,0.6562
7,size,0,r2,0.8656
7,size,1,r2,0.5744
7,size,2,r2,0.5043
7,size,3,r2,0.641
7,size,4,r2,0.7126
7,size,mean,r2,0.6596
8,size,0,r2,0.8689
8,size,1,r2,0.5726
8,size,2,r2,0.5146
8,size,3,r2,0.6114
8,size,4,r2,0.7239
8,size,mean,r2,0.6583
9,size,0,r2,0.8749
9,size,1,r2,0.5628
9,size,2,r2,0.4926
9,size,3,r2,0.6161
9,size,4,r2,0.7276
9,size,mean,r2,0.6548
10,size,0,r2,0.8555
10,size,1,r2,0.5846
10,size,2,r2,0.5001
10,size,3,r2,0.6318
10,size,4,r2,0.7161
10,size,mean,r2,0.6577
