epoch,family,target,metric,score
1,density,0,r2,0.8045
1,density,1,r2,0.4593
1,density,2,r2,0.8934
1,density,3,r2,0.901
1,density,mean,r2,0.7645
2,density,0,r2,0.8208
2,density,1,r2,0.5221
2,density,2,r2,0.9163
2,density,3,r2,0.9113
2,density,mean,r2,0.7926
3,density,0,r2,0.8238
3,density,1,r2,0.6127
3,density,2,r2,0.9191
3,density,3,r2,0.9174
3,density,mean,r2,0.8182
4,density,0,r2,0.8096
4,density,1,r2,0.6399
4,density,2,r2,0.9423
4,density,3,r2,0.9271
4,density,mean,r2,0.8297
5,density,0,r2,0.7962
5,density,1,r2,0.647
5,density,2,r2,0.9468
5,density,3,r2,0.9268
5,density,mean,r2,0.8292
6,density,0,r2,0.8364
6,density,1,r2,0.6809
6,density,2,r2,0.9503
6,density,3,r2,0.9228
6,density,mean,r2,0.8476
7,density,0,r2,0.8402
7,density,1,r2,0.7031
7,density,2,r2,0.9504
7,density,3,r2,0.9313
7,density,mean,r2,0.8563
8,density,0,r2,0.8278
8,density,1,r2,0.7307
8,density,2,r2,0.9447
8,density,3,r2,0.9306
8,density,mean,r2,0.8584
9,density,0,r2,0.8269
9,density,1,r2,0.7065
9,density,2,r2,0.9464
9,density,3,r2,0.9294
9,density,mean,r2,0.8523
10,density,0,r2,0.8095
10,density,1,r2,0.7308
10,density,2,r2,0.9518
10,density,3,r2,0.9303
10,density,mean,r2,0.8556
