epoch,family,target,metric,score
1,location,0,r2,0.0723
1,location,1,r2,0.1042
1,location,2,r2,0.3042
1,location,mean,r2,0.1602
2,location,0,r2,0.0894
2,location,1,r2,0.1118
2,location,2,r2,0.3228
2,location,mean,r2,0.1747
3,location,0,r2,0.116
3,location,1,r2,0.1181
3,location,2,r2,0.3073
3,location,mean,r2,0.1805
4,location,0,r2,0.1049
4,location,1,r2,0.1128
4,location,2,r2,0.312
4,location,mean,r2,0.1765
5,location,0,r2,0.1208
5,location,1,r2,0.1158
5,location,2,r2,0.3262
5,location,mean,r2,0.1876
6,location,0,r2,0.0889
6,location,1,r2,0.0912
6,location,2,r2,0.3251
6,location,mean,r2,0.1684
7,location,0,r2,0.1449
7,location,1,r2,0.1028
7,location,2,r2,0.3137
7,location,mean,r2,0.1871
8,location,0,r2,0.1465
8,location,1,r2,0.1091
8,location,2,r2,0.3272
8,location,mean,r2,0.1943
9,location,0,r2,0.1579
9,location,1,r2,0.1071
9,location,2,r2,0.3062
9,location,mean,r2,0.1904
10,location,0,r2,0.1553
10,location,1,r2,0.1061
10,location,2,r2,0.3241
10,location,mean,r2,0.1952
