epoch,family,target,metric,score
1,radiomics,0,r2,0.9041
1,radiomics,1,r2,0.215
1,radiomics,2,r2,0.8482
1,radiomics,mean,r2,0.6558
2,radiomics,0,r2,0.9079
2,radiomics,1,r2,0.2907
2,radiomics,2,r2,0.8489
2,radiomics,mean,r2,0.6825
3,radiomics,0,r2,0.9158
3,radiomics,1,r2,0.3148
3,radiomics,2,r2,0.8706
3,radiomics,mean,r2,0.7004
4,radiomics,0,r2,0.9212
4,radiomics,1,r2,0.4487
4,radiomics,2,r2,0.8768
4,radiomics,mean,r2,0.7489
5,radiomics,0,r2,0.924
5,radiomics,1,r2,0.3662
5,radiomics,2,r2,0.8948
5,radiomics,mean,r2,0.7283
6,radiomics,0,r2,0.9157
6,radiomics,1,r2,0.4543
6,radiomics,2,r2,0.8832
6,radiomics,mean,r2,0.7511
7,radiomics,0,r2,0.9266
7,radiomics,1,r2,0.4174
7,radiomics,2,r2,0.8978
7,radiomics,mean,r2,0.7473
8,radiomics,0,r2,0.9278
8,radiomics,1,r2,0.4433
8,radiomics,2,r2,0.8988
8,radiomics,mean,r2,0.7566
9,radiomics,0,r2,0.9271
9,radiomics,1,r2,0.4107
9,radiomics,2,r2,0.9003
9,radiomics,mean,r2,0.7461
10,radiomics,0,r2,0.9312
10,radiomics,1,r2,0.5355
10,radiomics,2,r2,0.8974
10,radiomics,mean,r2,0.788
