epoch,family,target,metric,score
1,location,0,r2,0.0769
1,location,1,r2,0.0985
1,location,2,r2,0.3034
1,location,mean,r2,0.1596
2,location,0,r2,0.0958
2,location,1,r2,0.1124
2,location,2,r2,0.337
2,location,mean,r2,0.1817
3,location,0,r2,0.1227
3,location,1,r2,0.1156
3,location,2,r2,0.3164
3,location,mean,r2,0.1849
4,location,0,r2,0.1615
4,location,1,r2,0.1182
4,location,2,r2,0.3291
4,location,mean,r2,0.2029
5,location,0,r2,0.1972
5,location,1,r2,0.1281
5,location,2,r2,0.3458
5,location,mean,r2,0.2237
6,location,0,r2,0.2256
6,location,1,r2,0.1479
6,location,2,r2,0.3414
6,location,mean,r2,0.2383
7,location,0,r2,0.2973
7,location,1,r2,0.1346
7,location,2,r2,0.3209
7,location,mean,r2,0.2509
8,location,0,r2,0.2665
8,location,1,r2,0.1525
8,location,2,r2,0.3526
8,location,mean,r2,0.2572
9,location,0,r2,0.4002
9,location,1,r2,0.1619
9,location,2,r2,0.3421
9,location,mean,r2,0.3014
10,location,0,r2,0.4096
10,location,1,r2,0.1475
10,location,2,r2,0.3493
10,location,mean,r2,0.3021
