epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9224
1,disease,Arterial wall calcification,auroc,0.932
1,disease,Cardiomegaly,auroc,0.9243
1,disease,Pericardial effusion,auroc,0.8566
1,disease,Coronary artery wall calcification,auroc,0.9344
1,disease,Hiatal hernia,auroc,0.7084
1,disease,Lymphadenopathy,auroc,0.7573
1,disease,Emphysema,auroc,0.798
1,disease,Atelectasis,auroc,0.8033
1,disease,Lung nodule,auroc,0.7362
1,disease,Lung opacity,auroc,0.8725
1,disease,Pulmonary fibrotic sequela,auroc,0.7418
1,disease,Pleural effusion,auroc,0.9687
1,disease,Mosaic attenuation pattern,auroc,0.8809
1,disease,Peribronchial thickening,auroc,0.8171
1,disease,Consolidation,auroc,0.9216
1,disease,Bronchiectasis,auroc,0.7723
1,disease,Interlobular septal thickening,auroc,0.8751
1,disease,macro,auroc,0.8457
1,disease,micro,auroc,0.859
2,disease,Medical material,auroc,0.9238
2,disease,Arterial wall calcification,auroc,0.9311
2,disease,Cardiomegaly,auroc,0.928
2,disease,Pericardial effusion,auroc,0.8535
2,disease,Coronary artery wall calcification,auroc,0.9341
2,disease,Hiatal hernia,auroc,0.7163
2,disease,Lymphadenopathy,auroc,0.7576
2,disease,Emphysema,auroc,0.8052
2,disease,Atelectasis,auroc,0.8144
2,disease,Lung nodule,auroc,0.7375
2,disease,Lung opacity,auroc,0.8719
2,disease,Pulmonary fibrotic sequela,auroc,0.7447
2,disease,Pleural effusion,auroc,0.9692
2,disease,Mosaic attenuation pattern,auroc,0.8913
2,disease,Peribronchial thickening,auroc,0.8089
2,disease,Consolidation,auroc,0.9172
2,disease,Bronchiectasis,auroc,0.8008
2,disease,Interlobular septal thickening,auroc,0.8727
2,disease,macro,auroc,0.8488
2,disease,micro,auroc,0.8599
3,disease,Medical material,auroc,0.9259
3,disease,Arterial wall calcification,auroc,0.9296
3,disease,Cardiomegaly,auroc,0.9272
3,disease,Pericardial effusion,auroc,0.8554
3,disease,Coronary artery wall calcification,auroc,0.9342
3,disease,Hiatal hernia,auroc,0.7192
3,disease,Lymphadenopathy,auroc,0.7516
3,disease,Emphysema,auroc,0.8059
3,disease,Atelectasis,auroc,0.8192
3,disease,Lung nodule,auroc,0.742
3,disease,Lung opacity,auroc,0.8697
3,disease,Pulmonary fibrotic sequela,auroc,0.7446
3,disease,Pleural effusion,auroc,0.9683
3,disease,Mosaic attenuation pattern,auroc,0.8853
3,disease,Peribronchial thickening,auroc,0.8116
