epoch,family,target,metric,score
1,radiomics,0,r2,0.9087
1,radiomics,1,r2,0.2197
1,radiomics,2,r2,0.8494
1,radiomics,mean,r2,0.6593
2,radiomics,0,r2,0.9063
2,radiomics,1,r2,0.2832
2,radiomics,2,r2,0.8397
2,radiomics,mean,r2,0.6764
3,radiomics,0,r2,0.9182
3,radiomics,1,r2,0.3296
3,radiomics,2,r2,0.8801
3,radiomics,mean,r2,0.7093
4,radiomics,0,r2,0.9228
4,radiomics,1,r2,0.4561
4,radiomics,2,r2,0.8829
4,radiomics,mean,r2,0.7539
5,radiomics,0,r2,0.9227
5,radiomics,1,r2,0.3651
5,radiomics,2,r2,0.8912
5,radiomics,mean,r2,0.7263
6,radiomics,0,r2,0.9194
6,radiomics,1,r2,0.4372
6,radiomics,2,r2,0.8885
6,radiomics,mean,r2,0.7484
7,radiomics,0,r2,0.9224
7,radiomics,1,r2,0.4056
7,radiomics,2,r2,0.8912
7,radiomics,mean,r2,0.7397
8,radiomics,0,r2,0.9214
8,radiomics,1,r2,0.4001
8,radiomics,2,r2,0.897
8,radiomics,mean,r2,0.7395
9,radiomics,0,r2,0.928
9,radiomics,1,r2,0.5081
9,radiomics,2,r2,0.892
9,radiomics,mean,r2,0.776
10,radiomics,0,r2,0.9263
10,radiomics,1,r2,0.4772
10,radiomics,2,r2,0.8996
10,radiomics,mean,r2,0.7677
