epoch,family,target,metric,score
1,size,0,r2,0.8339
1,size,1,r2,0.4971
1,size,2,r2,0.4652
1,size,3,r2,0.6229
1,size,4,r2,0.6812
1,size,mean,r2,0.6201
2,size,0,r2,0.8589
2,size,1,r2,0.5063
2,size,2,r2,0.4691
2,size,3,r2,0.6118
2,size,4,r2,0.6992
2,size,mean,r2,0.6291
3,size,0,r2,0.8554
3,size,1,r2,0.55
3,size,2,r2,0.4975
3,size,3,r2,0.6319
3,size,4,r2,0.7007
3,size,mean,r2,0.6471
4,size,0,r2,0.8497
4,size,1,r2,0.5405
4,size,2,r2,0.496
4,size,3,r2,0.6368
4,size,4,r2,0.7205
4,size,mean,r2,0.6487
5,size,0,r2,0.8691
5,size,1,r2,0.5732
5,size,2,r2,0.4915
5,size,3,r2,0.6273
5,size,4,r2,0.7207
5,size,mean,r2,0.6564
6,size,0,r2,0.854
6,size,1,r2,0.5854
6,size,2,r2,0.5167
6,size,3,r2,0.6332
6,size,4,r2,0.7087
6,size,mean,r2,0.6596
7,size,0,r2,0.8698
7,size,1,r2,0.5755
7,size,2,r2,0.4987
7,size,3,r2,0.635
7,size,4,r2,0.7134
7,size,mean,r2,0.6585
8,size,0,r2,0.8595
8,size,1,r2,0.5738
8,size,2,r2,0.4904
8,size,3,r2,0.6224
8,size,4,r2,0.7249
8,size,mean,r2,0.6542
9,size,0,r2,0.8699
9,size,1,r2,0.5708
9,size,2,r2,0.4874
9,size,3,r2,0.6249
9,size,4,r2,0.7321
9,size,mean,r2,0.657
10,size,0,r2,0.8543
10,size,1,r2,0.5738
10,size,2,r2,0.4959
10,size,3,r2,0.6331
10,size,4,r2,0.7202
10,size,mean,r2,0.6554
