epoch,family,target,metric,score
1,density,0,r2,0.7958
1,density,1,r2,0.4568
1,density,2,r2,0.9224
1,density,3,r2,0.9005
1,density,mean,r2,0.7689
2,density,0,r2,0.8154
2,density,1,r2,0.5441
2,density,2,r2,0.9125
2,density,3,r2,0.9092
2,density,mean,r2,0.7953
3,density,0,r2,0.8234
3,density,1,r2,0.6417
3,density,2,r2,0.9314
3,density,3,r2,0.9202
3,density,mean,r2,0.8292
4,density,0,r2,0.8277
4,density,1,r2,0.6588
4,density,2,r2,0.948
4,density,3,r2,0.9269
4,density,mean,r2,0.8404
5,density,0,r2,0.8236
5,density,1,r2,0.6852
5,density,2,r2,0.9464
5,density,3,r2,0.924
5,density,mean,r2,0.8448
6,density,0,r2,0.8351
6,density,1,r2,0.6755
6,density,2,r2,0.948
6,density,3,r2,0.9304
6,density,mean,r2,0.8473
7,density,0,r2,0.8304
7,density,1,r2,0.7372
7,density,2,r2,0.9473
7,density,3,r2,0.9315
7,density,mean,r2,0.8616
8,density,0,r2,0.8295
8,density,1,r2,0.7249
8,density,2,r2,0.9488
8,density,3,r2,0.9348
8,density,mean,r2,0.8595
9,density,0,r2,0.8401
9,density,1,r2,0.7414
9,density,2,r2,0.9555
9,density,3,r2,0.9338
9,density,mean,r2,0.8677
10,density,0,r2,0.8376
10,density,1,r2,0.7388
10,density,2,r2,0.9481
10,density,3,r2,0.927
10,density,mean,r2,0.8629
