epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9232
1,disease,Arterial wall calcification,auroc,0.9316
1,disease,Cardiomegaly,auroc,0.9273
1,disease,Pericardial effusion,auroc,0.8424
1,disease,Coronary artery wall calcification,auroc,0.9361
1,disease,Hiatal hernia,auroc,0.7065
1,disease,Lymphadenopathy,auroc,0.7522
1,disease,Emphysema,auroc,0.8009
1,disease,Atelectasis,auroc,0.813
1,disease,Lung nodule,auroc,0.74
1,disease,Lung opacity,auroc,0.8704
1,disease,Pulmonary fibrotic sequela,auroc,0.7462
1,disease,Pleural effusion,auroc,0.9676
1,disease,Mosaic attenuation pattern,auroc,0.8869
1,disease,Peribronchial thickening,auroc,0.8174
1,disease,Consolidation,auroc,0.9205
1,disease,Bronchiectasis,auroc,0.7909
1,disease,Interlobular septal thickening,auroc,0.8841
1,disease,macro,auroc,0.8476
1,disease,micro,auroc,0.8548
2,disease,Medical material,auroc,0.9263
2,disease,Arterial wall calcification,auroc,0.9306
2,disease,Cardiomegaly,auroc,0.9242
2,disease,Pericardial effusion,auroc,0.8531
2,disease,Coronary artery wall calcification,auroc,0.9338
2,disease,Hiatal hernia,auroc,0.6978
2,disease,Lymphadenopathy,auroc,0.7571
2,disease,Emphysema,auroc,0.8033
2,disease,Atelectasis,auroc,0.8091
2,disease,Lung nodule,auroc,0.737
2,disease,Lung opacity,auroc,0.8692
2,disease,Pulmonary fibrotic sequela,auroc,0.75
2,disease,Pleural effusion,auroc,0.9682
2,disease,Mosaic attenuation pattern,auroc,0.8882
2,disease,Peribronchial thickening,auroc,0.8199
2,disease,Consolidation,auroc,0.9227
2,disease,Bronchiectasis,auroc,0.7981
2,disease,Interlobular septal thickening,auroc,0.874
2,disease,macro,auroc,0.8479
2,disease,micro,auroc,0.8582
3,disease,Medical material,auroc,0.9257
3,disease,Arterial wall calcification,auroc,0.931
3,disease,Cardiomegaly,auroc,0.9288
3,disease,Pericardial effusion,auroc,0.844
3,disease,Coronary artery wall calcification,auroc,0.9348
3,disease,Hiatal hernia,auroc,0.7108
