epoch,family,target,metric,score
1,location,0,r2,0.2789
1,location,1,r2,0.1641
1,location,2,r2,0.3521
1,location,mean,r2,0.265
2,location,0,r2,0.4883
2,location,1,r2,0.3073
2,location,2,r2,0.3686
2,location,mean,r2,0.3881
3,location,0,r2,0.5104
3,location,1,r2,0.3447
3,location,2,r2,0.3903
3,location,mean,r2,0.4152
4,location,0,r2,0.5843
4,location,1,r2,0.3589
4,location,2,r2,0.4184
4,location,mean,r2,0.4539
5,location,0,r2,0.6068
5,location,1,r2,0.3828
5,location,2,r2,0.4162
5,location,mean,r2,0.4686
6,location,0,r2,0.616
6,location,1,r2,0.4034
6,location,2,r2,0.4292
6,location,mean,r2,0.4829
7,location,0,r2,0.6197
7,location,1,r2,0.3955
7,location,2,r2,0.452
7,location,mean,r2,0.489
8,location,0,r2,0.656
8,location,1,r2,0.3883
8,location,2,r2,0.4404
8,location,mean,r2,0.4949
9,location,0,r2,0.6282
9,location,1,r2,0.3733
9,location,2,r2,0.468
9,location,mean,r2,0.4898
10,location,0,r2,0.618
10,location,1,r2,0.4632
10,location,2,r2,0.4635
10,location,mean,r2,0.5149
