epoch,family,target,metric,score
1,radiomics,0,r2,0.9015
1,radiomics,1,r2,0.2268
1,radiomics,2,r2,0.8503
1,radiomics,mean,r2,0.6596
2,radiomics,0,r2,0.9025
2,radiomics,1,r2,0.3147
2,radiomics,2,r2,0.8722
2,radiomics,mean,r2,0.6965
3,radiomics,0,r2,0.9202
3,radiomics,1,r2,0.3315
3,radiomics,2,r2,0.8763
3,radiomics,mean,r2,0.7094
4,radiomics,0,r2,0.9227
4,radiomics,1,r2,0.4287
4,radiomics,2,r2,0.893
4,radiomics,mean,r2,0.7481
5,radiomics,0,r2,0.9239
5,radiomics,1,r2,0.3979
5,radiomics,2,r2,0.8941
5,radiomics,mean,r2,0.7386
6,radiomics,0,r2,0.9272
6,radiomics,1,r2,0.3777
6,radiomics,2,r2,0.8835
6,radiomics,mean,r2,0.7295
7,radiomics,0,r2,0.928
7,radiomics,1,r2,0.5009
7,radiomics,2,r2,0.9012
7,radiomics,mean,r2,0.7767
8,radiomics,0,r2,0.9296
8,radiomics,1,r2,0.5376
8,radiomics,2,r2,0.9056
8,radiomics,mean,r2,0.7909
9,radiomics,0,r2,0.9308
9,radiomics,1,r2,0.5398
9,radiomics,2,r2,0.8948
9,radiomics,mean,r2,0.7885
10,radiomics,0,r2,0.9195
10,radiomics,1,r2,0.4994
10,radiomics,2,r2,0.905
10,radiomics,mean,r2,0.7746
