epoch,family,target,metric,score
1,size,0,r2,0.8502
1,size,1,r2,0.5199
1,size,2,r2,0.5025
1,size,3,r2,0.6357
1,size,4,r2,0.6994
1,size,mean,r2,0.6416
2,size,0,r2,0.8589
2,size,1,r2,0.5529
2,size,2,r2,0.5148
2,size,3,r2,0.6352
2,size,4,r2,0.7157
2,size,mean,r2,0.6555
3,size,0,r2,0.8689
3,size,1,r2,0.5596
3,size,2,r2,0.5151
3,size,3,r2,0.6418
3,size,4,r2,0.7352
3,size,mean,r2,0.6641
4,size,0,r2,0.8698
4,size,1,r2,0.5465
4,size,2,r2,0.5218
4,size,3,r2,0.6541
4,size,4,r2,0.7325
4,size,mean,r2,0.6649
5,size,0,r2,0.8695
5,size,1,r2,0.5891
5,size,2,r2,0.5322
5,size,3,r2,0.6458
5,size,4,r2,0.7401
5,size,mean,r2,0.6753
6,size,0,r2,0.8698
6,size,1,r2,0.5769
6,size,2,r2,0.5196
6,size,3,r2,0.6458
6,size,4,r2,0.7497
6,size,mean,r2,0.6723
7,size,0,r2,0.8722
7,size,1,r2,0.5779
7,size,2,r2,0.5355
7,size,3,r2,0.6512
7,size,4,r2,0.751
7,size,mean,r2,0.6776
8,size,0,r2,0.8511
8,size,1,r2,0.5689
8,size,2,r2,0.5078
8,size,3,r2,0.6366
8,size,4,r2,0.7501
8,size,mean,r2,0.6629
9,size,0,r2,0.8788
9,size,1,r2,0.5878
9,size,2,r2,0.5337
9,size,3,r2,0.6571
9,size,4,r2,0.7645
9,size,mean,r2,0.6844
10,size,0,r2,0.8707
10,size,1,r2,0.5862
10,size,2,r2,0.5218
10,size,3,r2,0.6541
10,size,4,r2,0.753
10,size,mean,r2,0.6772
