epoch,family,target,metric,score
1,density,0,r2,0.8047
1,density,1,r2,0.4667
1,density,2,r2,0.9136
1,density,3,r2,0.8835
1,density,mean,r2,0.7671
2,density,0,r2,0.8165
2,density,1,r2,0.5542
2,density,2,r2,0.9078
2,density,3,r2,0.9079
2,density,mean,r2,0.7966
3,density,0,r2,0.8268
3,density,1,r2,0.608
3,density,2,r2,0.9412
3,density,3,r2,0.9185
3,density,mean,r2,0.8236
4,density,0,r2,0.8168
4,density,1,r2,0.645
4,density,2,r2,0.9418
4,density,3,r2,0.9237
4,density,mean,r2,0.8318
5,density,0,r2,0.8245
5,density,1,r2,0.6444
5,density,2,r2,0.9448
5,density,3,r2,0.9159
5,density,mean,r2,0.8324
6,density,0,r2,0.8376
6,density,1,r2,0.6996
6,density,2,r2,0.9501
6,density,3,r2,0.9291
6,density,mean,r2,0.8541
7,density,0,r2,0.8391
7,density,1,r2,0.7037
7,density,2,r2,0.9395
7,density,3,r2,0.9224
7,density,mean,r2,0.8512
8,density,0,r2,0.8294
8,density,1,r2,0.7066
8,density,2,r2,0.9441
8,density,3,r2,0.9306
8,density,mean,r2,0.8527
9,density,0,r2,0.8386
9,density,1,r2,0.7563
9,density,2,r2,0.9445
9,density,3,r2,0.9321
9,density,mean,r2,0.8679
10,density,0,r2,0.8424
10,density,1,r2,0.7471
10,density,2,r2,0.9512
10,density,3,r2,0.9262
10,density,mean,r2,0.8667
