epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9212
1,disease,Arterial wall calcification,auroc,0.9309
1,disease,Cardiomegaly,auroc,0.9282
1,disease,Pericardial effusion,auroc,0.8499
1,disease,Coronary artery wall calcification,auroc,0.9364
1,disease,Hiatal hernia,auroc,0.7101
1,disease,Lymphadenopathy,auroc,0.7518
1,disease,Emphysema,auroc,0.8019
1,disease,Atelectasis,auroc,0.8139
1,disease,Lung nodule,auroc,0.738
1,disease,Lung opacity,auroc,0.8728
1,disease,Pulmonary fibrotic sequela,auroc,0.7465
1,disease,Pleural effusion,auroc,0.9668
1,disease,Mosaic attenuation pattern,auroc,0.8827
1,disease,Peribronchial thickening,auroc,0.8162
1,disease,Consolidation,auroc,0.9233
1,disease,Bronchiectasis,auroc,0.79
1,disease,Interlobular septal thickening,auroc,0.8683
1,disease,macro,auroc,0.8472
1,disease,micro,auroc,0.8598
2,disease,Medical material,auroc,0.9258
2,disease,Arterial wall calcification,auroc,0.9324
2,disease,Cardiomegaly,auroc,0.9308
2,disease,Pericardial effusion,auroc,0.8474
2,disease,Coronary artery wall calcification,auroc,0.9382
2,disease,Hiatal hernia,auroc,0.711
2,disease,Lymphadenopathy,auroc,0.7524
2,disease,Emphysema,auroc,0.8023
2,disease,Atelectasis,auroc,0.8105
2,disease,Lung nodule,auroc,0.7401
2,disease,Lung opacity,auroc,0.8723
2,disease,Pulmonary fibrotic sequela,auroc,0.7519
2,disease,Pleural effusion,auroc,0.9659
2,disease,Mosaic attenuation pattern,auroc,0.8824
2,disease,Peribronchial thickening,auroc,0.8116
2,disease,Consolidation,auroc,0.9244
2,disease,Bronchiectasis,auroc,0.7916
2,disease,Interlobular septal thickening,auroc,0.8757
2,disease,macro,auroc,0.8481
2,disease,micro,auroc,0.8572
3,disease,Medical material,auroc,0.9275
3,disease,Arterial wall calcification,auroc,0.9326
3,disease,Cardiomegaly,auroc,0.9303
3,disease,Pericardial effusion,auroc,0.8473
3,disease,Coronary artery wall calcification,auroc,0.9369
3,disease,Hiatal hernia,auroc,0.6991
3,disease,Lymphadenopathy,auroc,0.7528
3,disease,Emphysema,auroc,0.8097
3,disease,Atelectasis,auroc,0.8164
3,disease,Lung nodule,auroc,0.7431
3,disease,Lung opacity,auroc,0.8699
3,disease,Pulmonary fibrotic sequela,auroc,0.7541
3,disease,Pleural effusion,auroc,0.9665
3,disease,Mosaic attenuation pattern,auroc,0.884
3,disease,Peribronchial thickening,auroc,0.8145
3,disease,Consolidation,auroc,0.9214
3,disease,Bronchiectasis,auroc,0.7906
3,disease,Interlobular septal thickening,auroc,0.8792
3,disease,macro,auroc,0.8487
3,disease,micro,auroc,0.8554
4,disease,Medical material,auroc,0.9253
4,disease,Arterial wall calcification,auroc,0.9305
4,disease,Cardiomegaly,auroc,0.9303
4,disease,Pericardial effusion,auroc,0.8476
4,disease,Coronary artery wall calcification,auroc,0.9366
4,disease,Hiatal hernia,auroc,0.7089
4,disease,Lymphadenopathy,auroc,0.7534
4,disease,Emphysema,auroc,0.8071
4,disease,Atelectasis,auroc,0.8178
4,disease,Lung nodule,auroc,0.7396
4,disease,Lung opacity,auroc,0.8705
4,disease,Pulmonary fibrotic sequela,auroc,0.7542
4,disease,Pleural effusion,auroc,0.9691
4,disease,Mosaic attenuation pattern,auroc,0.8842
4,disease,Peribronchial thickening,auroc,0.8094
4,disease,Consolidation,auroc,0.9205
4,disease,Bronchiectasis,auroc,0.798
4,disease,Interlobular septal thickening,auroc,0.8781
4,disease,macro,auroc,0.849
4,disease,micro,auroc,0.8603
5,disease,Medical material,auroc,0.9314
5,disease,Arterial wall calcification,auroc,0.9319
5,disease,Cardiomegaly,auroc,0.9335
5,disease,Pericardial effusion,auroc,0.8565
5,disease,Coronary artery wall calcification,auroc,0.9366
5,disease,Hiatal hernia,auroc,0.7189
5,disease,Lymphadenopathy,auroc,0.7516
