epoch,family,target,metric,score
1,location,0,r2,0.09
1,location,1,r2,0.0714
1,location,2,r2,0.2839
1,location,mean,r2,0.1484
2,location,0,r2,0.1319
2,location,1,r2,0.1043
2,location,2,r2,0.3053
2,location,mean,r2,0.1805
3,location,0,r2,0.1497
3,location,1,r2,0.1109
3,location,2,r2,0.3277
3,location,mean,r2,0.1961
4,location,0,r2,0.1809
4,location,1,r2,0.0999
4,location,2,r2,0.2897
4,location,mean,r2,0.1902
5,location,0,r2,0.1724
5,location,1,r2,0.1263
5,location,2,r2,0.3314
5,location,mean,r2,0.2101
6,location,0,r2,0.1907
6,location,1,r2,0.125
6,location,2,r2,0.3363
6,location,mean,r2,0.2174
7,location,0,r2,0.2059
7,location,1,r2,0.1243
7,location,2,r2,0.3301
7,location,mean,r2,0.2201
8,location,0,r2,0.1968
8,location,1,r2,0.1321
8,location,2,r2,0.3214
8,location,mean,r2,0.2168
9,location,0,r2,0.2327
9,location,1,r2,0.1298
9,location,2,r2,0.3425
9,location,mean,r2,0.235
10,location,0,r2,0.2456
10,location,1,r2,0.1304
10,location,2,r2,0.3311
10,location,mean,r2,0.2357
