epoch,family,target,metric,score
1,radiomics,0,r2,0.9065
1,radiomics,1,r2,0.2336
1,radiomics,2,r2,0.8504
1,radiomics,mean,r2,0.6635
2,radiomics,0,r2,0.9186
2,radiomics,1,r2,0.2917
2,radiomics,2,r2,0.8619
2,radiomics,mean,r2,0.6907
3,radiomics,0,r2,0.9092
3,radiomics,1,r2,0.2616
3,radiomics,2,r2,0.8708
3,radiomics,mean,r2,0.6805
4,radiomics,0,r2,0.917
4,radiomics,1,r2,0.2935
4,radiomics,2,r2,0.8821
4,radiomics,mean,r2,0.6976
5,radiomics,0,r2,0.9252
5,radiomics,1,r2,0.4751
5,radiomics,2,r2,0.8963
5,radiomics,mean,r2,0.7655
6,radiomics,0,r2,0.9297
6,radiomics,1,r2,0.4672
6,radiomics,2,r2,0.8966
6,radiomics,mean,r2,0.7645
7,radiomics,0,r2,0.9264
7,radiomics,1,r2,0.4642
7,radiomics,2,r2,0.8974
7,radiomics,mean,r2,0.7627
8,radiomics,0,r2,0.932
8,radiomics,1,r2,0.4847
8,radiomics,2,r2,0.9017
8,radiomics,mean,r2,0.7728
9,radiomics,0,r2,0.9349
9,radiomics,1,r2,0.3822
9,radiomics,2,r2,0.8987
9,radiomics,mean,r2,0.7386
10,radiomics,0,r2,0.9314
10,radiomics,1,r2,0.5527
10,radiomics,2,r2,0.8995
10,radiomics,mean,r2,0.7946
