epoch,family,target,metric,score
1,size,0,r2,0.8438
1,size,1,r2,0.5324
1,size,2,r2,0.4598
1,size,3,r2,0.603
1,size,4,r2,0.6905
1,size,mean,r2,0.6259
2,size,0,r2,0.8622
2,size,1,r2,0.5429
2,size,2,r2,0.4917
2,size,3,r2,0.6337
2,size,4,r2,0.7134
2,size,mean,r2,0.6488
3,size,0,r2,0.8531
3,size,1,r2,0.5395
3,size,2,r2,0.4815
3,size,3,r2,0.6335
3,size,4,r2,0.7158
3,size,mean,r2,0.6447
4,size,0,r2,0.8554
4,size,1,r2,0.569
4,size,2,r2,0.5052
4,size,3,r2,0.635
4,size,4,r2,0.7236
4,size,mean,r2,0.6576
5,size,0,r2,0.8603
5,size,1,r2,0.5503
5,size,2,r2,0.5122
5,size,3,r2,0.6419
5,size,4,r2,0.7334
5,size,mean,r2,0.6596
6,size,0,r2,0.8606
6,size,1,r2,0.5657
6,size,2,r2,0.5127
6,size,3,r2,0.629
6,size,4,r2,0.7182
6,size,mean,r2,0.6572
7,size,0,r2,0.8624
7,size,1,r2,0.5707
7,size,2,r2,0.511
7,size,3,r2,0.6363
7,size,4,r2,0.7267
7,size,mean,r2,0.6614
8,size,0,r2,0.8785
8,size,1,r2,0.5773
8,size,2,r2,0.5238
8,size,3,r2,0.6299
8,size,4,r2,0.7327
8,size,mean,r2,0.6684
9,size,0,r2,0.8712
9,size,1,r2,0.5859
9,size,2,r2,0.5279
9,size,3,r2,0.6315
9,size,4,r2,0.7257
9,size,mean,r2,0.6685
10,size,0,r2,0.8782
10,size,1,r2,0.5732
10,size,2,r2,0.5143
10,size,3,r2,0.6236
10,size,4,r2,0.7152
10,size,mean,r2,0.6609
