epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9217
1,disease,Arterial wall calcification,auroc,0.9309
1,disease,Cardiomegaly,auroc,0.9279
1,disease,Pericardial effusion,auroc,0.8497
1,disease,Coronary artery wall calcification,auroc,0.9365
1,disease,Hiatal hernia,auroc,0.7094
1,disease,Lymphadenopathy,auroc,0.7513
1,disease,Emphysema,auroc,0.8026
1,disease,Atelectasis,auroc,0.8135
1,disease,Lung nodule,auroc,0.7359
1,disease,Lung opacity,auroc,0.8725
1,disease,Pulmonary fibrotic sequela,auroc,0.7462
1,disease,Pleural effusion,auroc,0.9674
1,disease,Mosaic attenuation pattern,auroc,0.8835
1,disease,Peribronchial thickening,auroc,0.8162
1,disease,Consolidation,auroc,0.9244
1,disease,Bronchiectasis,auroc,0.791
1,disease,Interlobular septal thickening,auroc,0.8693
1,disease,macro,auroc,0.8472
1,disease,micro,auroc,0.8595
2,disease,Medical material,auroc,0.9257
2,disease,Arterial wall calcification,auroc,0.9319
2,disease,Cardiomegaly,auroc,0.9306
2,disease,Pericardial effusion,auroc,0.8504
2,disease,Coronary artery wall calcification,auroc,0.938
2,disease,Hiatal hernia,auroc,0.7132
2,disease,Lymphadenopathy,auroc,0.7523
2,disease,Emphysema,auroc,0.8042
2,disease,Atelectasis,auroc,0.81
2,disease,Lung nodule,auroc,0.7389
2,disease,Lung opacity,auroc,0.8716
2,disease,Pulmonary fibrotic sequela,auroc,0.7505
2,disease,Pleural effusion,auroc,0.9665
2,disease,Mosaic attenuation pattern,auroc,0.8843
2,disease,Peribronchial thickening,auroc,0.8124
2,disease,Consolidation,auroc,0.9255
2,disease,Bronchiectasis,auroc,0.792
2,disease,Interlobular septal thickening,auroc,0.8765
2,disease,macro,auroc,0.8486
2,disease,micro,auroc,0.857
3,disease,Medical material,auroc,0.9273
3,disease,Arterial wall calcification,auroc,0.933
3,disease,Cardiomegaly,auroc,0.9303
3,disease,Pericardial effusion,auroc,0.8474
3,disease,Coronary artery wall calcification,auroc,0.9368
3,disease,Hiatal hernia,auroc,0.6997
3,disease,Lymphadenopathy,auroc,0.7539
3,disease,Emphysema,auroc,0.8094
3,disease,Atelectasis,auroc,0.8164
3,disease,Lung nodule,auroc,0.7393
3,disease,Lung opacity,auroc,0.8703
3,disease,Pulmonary fibrotic sequela,auroc,0.7553
3,disease,Pleural effusion,auroc,0.9663
3,disease,Mosaic attenuation pattern,auroc,0.8844
3,disease,Peribronchial thickening,auroc,0.8155
3,disease,Consolidation,auroc,0.9225
3,disease,Bronchiectasis,auroc,0.7929
3,disease,Interlobular septal thickening,auroc,0.8785
3,disease,macro,auroc,0.8489
3,disease,micro,auroc,0.8556
4,disease,Medical material,auroc,0.9257
4,disease,Arterial wall calcification,auroc,0.9316
4,disease,Cardiomegaly,auroc,0.93
4,disease,Pericardial effusion,auroc,0.846
4,disease,Coronary artery wall calcification,auroc,0.936
4,disease,Hiatal hernia,auroc,0.7083
4,disease,Lymphadenopathy,auroc,0.7542
4,disease,Emphysema,auroc,0.8061
4,disease,Atelectasis,auroc,0.8169
4,disease,Lung nodule,auroc,0.7378
4,disease,Lung opacity,auroc,0.8711
4,disease,Pulmonary fibrotic sequela,auroc,0.7548
4,disease,Pleural effusion,auroc,0.9683
4,disease,Mosaic attenuation pattern,auroc,0.8853
4,disease,Peribronchial thickening,auroc,0.8112
4,disease,Consolidation,auroc,0.9207
4,disease,Bronchiectasis,auroc,0.7998
4,disease,Interlobular septal thickening,auroc,0.8784
4,disease,macro,auroc,0.849
4,disease,micro,auroc,0.8606
5,disease,Medical material,auroc,0.9311
5,disease,Arterial wall calcification,auroc,0.9323
5,disease,Cardiomegaly,auroc,0.932
5,disease,Pericardial effusion,auroc,0.8557
5,disease,Coronary artery wall calcification,auroc,0.9357
5,disease,Hiatal hernia,auroc,0.7146
5,disease,Lymphadenopathy,auroc,0.7513
5,disease,Emphysema,auroc,0.8054
5,disease,Atelectasis,auroc,0.8163
5,disease,Lung nodule,auroc,0.7425
5,disease,Lung opacity,auroc,0.8658
5,disease,Pulmonary fibrotic sequela,auroc,0.7472
5,disease,Pleural effusion,auroc,0.968
5,disease,Mosaic attenuation pattern,auroc,0.886
5,disease,Peribronchial thickening,auroc,0.8147
5,disease,Consolidation,auroc,0.925
5,disease,Bronchiectasis,auroc,0.792
5,disease,Interlobular septal thickening,auroc,0.8775
5,disease,macro,auroc,0.8496
5,disease,micro,auroc,0.857
