epoch,family,target,metric,score
1,location,0,r2,0.102
1,location,1,r2,0.0895
1,location,2,r2,0.2861
1,location,mean,r2,0.1592
2,location,0,r2,0.1622
2,location,1,r2,0.1284
2,location,2,r2,0.3256
2,location,mean,r2,0.2054
3,location,0,r2,0.243
3,location,1,r2,0.13
3,location,2,r2,0.3323
3,location,mean,r2,0.2351
4,location,0,r2,0.3287
4,location,1,r2,0.119
4,location,2,r2,0.3488
4,location,mean,r2,0.2655
5,location,0,r2,0.3665
5,location,1,r2,0.1758
5,location,2,r2,0.343
5,location,mean,r2,0.2951
6,location,0,r2,0.3994
6,location,1,r2,0.206
6,location,2,r2,0.3718
6,location,mean,r2,0.3257
7,location,0,r2,0.4083
7,location,1,r2,0.2257
7,location,2,r2,0.3758
7,location,mean,r2,0.3366
8,location,0,r2,0.483
8,location,1,r2,0.2448
8,location,2,r2,0.3681
8,location,mean,r2,0.3653
9,location,0,r2,0.4785
9,location,1,r2,0.2518
9,location,2,r2,0.3873
9,location,mean,r2,0.3725
10,location,0,r2,0.5137
10,location,1,r2,0.2547
10,location,2,r2,0.3783
10,location,mean,r2,0.3822
