epoch,family,target,metric,score
1,radiomics,0,r2,0.9046
1,radiomics,1,r2,0.2332
1,radiomics,2,r2,0.8499
1,radiomics,mean,r2,0.6625
2,radiomics,0,r2,0.9142
2,radiomics,1,r2,0.2965
2,radiomics,2,r2,0.8676
2,radiomics,mean,r2,0.6928
3,radiomics,0,r2,0.9187
3,radiomics,1,r2,0.212
3,radiomics,2,r2,0.8455
3,radiomics,mean,r2,0.6587
4,radiomics,0,r2,0.9169
4,radiomics,1,r2,0.32
4,radiomics,2,r2,0.8701
4,radiomics,mean,r2,0.7023
5,radiomics,0,r2,0.9198
5,radiomics,1,r2,0.4799
5,radiomics,2,r2,0.8864
5,radiomics,mean,r2,0.762
6,radiomics,0,r2,0.922
6,radiomics,1,r2,0.3996
6,radiomics,2,r2,0.8909
6,radiomics,mean,r2,0.7375
7,radiomics,0,r2,0.9297
7,radiomics,1,r2,0.4698
7,radiomics,2,r2,0.8915
7,radiomics,mean,r2,0.7637
8,radiomics,0,r2,0.9246
8,radiomics,1,r2,0.4927
8,radiomics,2,r2,0.8995
8,radiomics,mean,r2,0.7723
9,radiomics,0,r2,0.9328
9,radiomics,1,r2,0.5175
9,radiomics,2,r2,0.8961
9,radiomics,mean,r2,0.7821
10,radiomics,0,r2,0.9313
10,radiomics,1,r2,0.5431
10,radiomics,2,r2,0.9013
10,radiomics,mean,r2,0.7919
