epoch,family,target,metric,score
1,size,0,r2,0.8358
1,size,1,r2,0.5341
1,size,2,r2,0.476
1,size,3,r2,0.6214
1,size,4,r2,0.6946
1,size,mean,r2,0.6324
2,size,0,r2,0.8478
2,size,1,r2,0.543
2,size,2,r2,0.4947
2,size,3,r2,0.6247
2,size,4,r2,0.7072
2,size,mean,r2,0.6435
3,size,0,r2,0.8618
3,size,1,r2,0.5587
3,size,2,r2,0.5189
3,size,3,r2,0.6372
3,size,4,r2,0.7302
3,size,mean,r2,0.6614
4,size,0,r2,0.865
4,size,1,r2,0.5604
4,size,2,r2,0.5073
4,size,3,r2,0.6445
4,size,4,r2,0.7144
4,size,mean,r2,0.6583
5,size,0,r2,0.8607
5,size,1,r2,0.5899
5,size,2,r2,0.5328
5,size,3,r2,0.6464
5,size,4,r2,0.7241
5,size,mean,r2,0.6708
6,size,0,r2,0.861
6,size,1,r2,0.5886
6,size,2,r2,0.5354
6,size,3,r2,0.6415
6,size,4,r2,0.7308
6,size,mean,r2,0.6714
7,size,0,r2,0.8715
7,size,1,r2,0.5857
7,size,2,r2,0.5224
7,size,3,r2,0.641
7,size,4,r2,0.7384
7,size,mean,r2,0.6718
8,size,0,r2,0.877
8,size,1,r2,0.5769
8,size,2,r2,0.5376
8,size,3,r2,0.6501
8,size,4,r2,0.7437
8,size,mean,r2,0.677
9,size,0,r2,0.8684
9,size,1,r2,0.5905
9,size,2,r2,0.5307
9,size,3,r2,0.6385
9,size,4,r2,0.744
9,size,mean,r2,0.6744
10,size,0,r2,0.8756
10,size,1,r2,0.6052
10,size,2,r2,0.5185
10,size,3,r2,0.6306
10,size,4,r2,0.7425
10,size,mean,r2,0.6745
