epoch,family,target,metric,score
1,density,0,r2,0.8142
1,density,1,r2,0.5114
1,density,2,r2,0.9189
1,density,3,r2,0.8882
1,density,mean,r2,0.7832
2,density,0,r2,0.812
2,density,1,r2,0.578
2,density,2,r2,0.938
2,density,3,r2,0.9103
2,density,mean,r2,0.8096
3,density,0,r2,0.8147
3,density,1,r2,0.6311
3,density,2,r2,0.94
3,density,3,r2,0.9152
3,density,mean,r2,0.8253
4,density,0,r2,0.7925
4,density,1,r2,0.653
4,density,2,r2,0.95
4,density,3,r2,0.9221
4,density,mean,r2,0.8294
5,density,0,r2,0.834
5,density,1,r2,0.6972
5,density,2,r2,0.9444
5,density,3,r2,0.9202
5,density,mean,r2,0.849
6,density,0,r2,0.8311
6,density,1,r2,0.7048
6,density,2,r2,0.9493
6,density,3,r2,0.9322
6,density,mean,r2,0.8543
7,density,0,r2,0.8354
7,density,1,r2,0.7294
7,density,2,r2,0.9531
7,density,3,r2,0.9272
7,density,mean,r2,0.8613
8,density,0,r2,0.819
8,density,1,r2,0.7432
8,density,2,r2,0.9453
8,density,3,r2,0.9268
8,density,mean,r2,0.8586
9,density,0,r2,0.8394
9,density,1,r2,0.7145
9,density,2,r2,0.9502
9,density,3,r2,0.9353
9,density,mean,r2,0.8599
10,density,0,r2,0.8305
10,density,1,r2,0.7455
10,density,2,r2,0.9477
10,density,3,r2,0.9338
10,density,mean,r2,0.8644
