epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9224
1,disease,Arterial wall calcification,auroc,0.9316
1,disease,Cardiomegaly,auroc,0.9273
1,disease,Pericardial effusion,auroc,0.8433
1,disease,Coronary artery wall calcification,auroc,0.9364
1,disease,Hiatal hernia,auroc,0.7099
1,disease,Lymphadenopathy,auroc,0.7512
1,disease,Emphysema,auroc,0.8021
1,disease,Atelectasis,auroc,0.815
1,disease,Lung nodule,auroc,0.7408
1,disease,Lung opacity,auroc,0.8706
1,disease,Pulmonary fibrotic sequela,auroc,0.7463
1,disease,Pleural effusion,auroc,0.969
1,disease,Mosaic attenuation pattern,auroc,0.8874
1,disease,Peribronchial thickening,auroc,0.8194
1,disease,Consolidation,auroc,0.9203
1,disease,Bronchiectasis,auroc,0.7916
1,disease,Interlobular septal thickening,auroc,0.8838
1,disease,macro,auroc,0.8483
1,disease,micro,auroc,0.8551
2,disease,Medical material,auroc,0.9269
2,disease,Arterial wall calcification,auroc,0.9312
2,disease,Cardiomegaly,auroc,0.925
2,disease,Pericardial effusion,auroc,0.8548
2,disease,Coronary artery wall calcification,auroc,0.9343
2,disease,Hiatal hernia,auroc,0.7006
2,disease,Lymphadenopathy,auroc,0.7554
2,disease,Emphysema,auroc,0.8027
2,disease,Atelectasis,auroc,0.8121
2,disease,Lung nodule,auroc,0.7372
2,disease,Lung opacity,auroc,0.8693
2,disease,Pulmonary fibrotic sequela,auroc,0.7502
2,disease,Pleural effusion,auroc,0.9689
2,disease,Mosaic attenuation pattern,auroc,0.8892
2,disease,Peribronchial thickening,auroc,0.8221
2,disease,Consolidation,auroc,0.9233
2,disease,Bronchiectasis,auroc,0.7991
2,disease,Interlobular septal thickening,auroc,0.8784
2,disease,macro,auroc,0.8489
2,disease,micro,auroc,0.8591
3,disease,Medical material,auroc,0.926
3,disease,Arterial wall calcification,auroc,0.9308
3,disease,Cardiomegaly,auroc,0.929
3,disease,Pericardial effusion,auroc,0.8441
3,disease,Coronary artery wall calcification,auroc,0.9344
3,disease,Hiatal hernia,auroc,0.7145
3,disease,Lymphadenopathy,auroc,0.7566
3,disease,Emphysema,auroc,0.7997
3,disease,Atelectasis,auroc,0.8057
3,disease,Lung nodule,auroc,0.7357
3,disease,Lung opacity,auroc,0.8684
3,disease,Pulmonary fibrotic sequela,auroc,0.7484
3,disease,Pleural effusion,auroc,0.9654
3,disease,Mosaic attenuation pattern,auroc,0.8848
3,disease,Peribronchial thickening,auroc,0.8103
3,disease,Consolidation,auroc,0.9255
3,disease,Bronchiectasis,auroc,0.7969
3,disease,Interlobular septal thickening,auroc,0.8782
3,disease,macro,auroc,0.8475
3,disease,micro,auroc,0.858
4,disease,Medical material,auroc,0.928
4,disease,Arterial wall calcification,auroc,0.9319
4,disease,Cardiomegaly,auroc,0.9314
4,disease,Pericardial effusion,auroc,0.8552
4,disease,Coronary artery wall calcification,auroc,0.9351
