epoch,family,target,metric,score
1,size,0,r2,0.856
1,size,1,r2,0.53
1,size,2,r2,0.5115
1,size,3,r2,0.642
1,size,4,r2,0.7069
1,size,mean,r2,0.6493
2,size,0,r2,0.8585
2,size,1,r2,0.5523
2,size,2,r2,0.5143
2,size,3,r2,0.6405
2,size,4,r2,0.7307
2,size,mean,r2,0.6592
3,size,0,r2,0.864
3,size,1,r2,0.5684
3,size,2,r2,0.5086
3,size,3,r2,0.6465
3,size,4,r2,0.7436
3,size,mean,r2,0.6662
4,size,0,r2,0.8706
4,size,1,r2,0.5442
4,size,2,r2,0.5266
4,size,3,r2,0.6563
4,size,4,r2,0.7398
4,size,mean,r2,0.6675
5,size,0,r2,0.8723
5,size,1,r2,0.58
5,size,2,r2,0.539
5,size,3,r2,0.6463
5,size,4,r2,0.7387
5,size,mean,r2,0.6753
6,size,0,r2,0.873
6,size,1,r2,0.5685
6,size,2,r2,0.5268
6,size,3,r2,0.6517
6,size,4,r2,0.7535
6,size,mean,r2,0.6747
7,size,0,r2,0.871
7,size,1,r2,0.5825
7,size,2,r2,0.5463
7,size,3,r2,0.645
7,size,4,r2,0.7516
7,size,mean,r2,0.6793
8,size,0,r2,0.8688
8,size,1,r2,0.57
8,size,2,r2,0.5186
8,size,3,r2,0.6451
8,size,4,r2,0.7519
8,size,mean,r2,0.6709
9,size,0,r2,0.8762
9,size,1,r2,0.5834
9,size,2,r2,0.5295
9,size,3,r2,0.6549
9,size,4,r2,0.7623
9,size,mean,r2,0.6813
10,size,0,r2,0.8725
10,size,1,r2,0.5876
10,size,2,r2,0.5286
10,size,3,r2,0.6525
10,size,4,r2,0.7548
10,size,mean,r2,0.6792
