epoch,family,target,metric,score
1,location,0,r2,0.188
1,location,1,r2,0.2463
1,location,2,r2,0.3542
1,location,mean,r2,0.2628
2,location,0,r2,0.2539
2,location,1,r2,0.327
2,location,2,r2,0.4268
2,location,mean,r2,0.3359
3,location,0,r2,0.32
3,location,1,r2,0.3349
3,location,2,r2,0.4412
3,location,mean,r2,0.3654
4,location,0,r2,0.3339
4,location,1,r2,0.341
4,location,2,r2,0.4609
4,location,mean,r2,0.3786
5,location,0,r2,0.3068
5,location,1,r2,0.3175
5,location,2,r2,0.4463
5,location,mean,r2,0.3569
6,location,0,r2,0.343
6,location,1,r2,0.3514
6,location,2,r2,0.472
6,location,mean,r2,0.3888
7,location,0,r2,0.3079
7,location,1,r2,0.3653
7,location,2,r2,0.4964
7,location,mean,r2,0.3898
8,location,0,r2,0.3638
8,location,1,r2,0.3807
8,location,2,r2,0.459
8,location,mean,r2,0.4012
9,location,0,r2,0.3685
9,location,1,r2,0.3973
9,location,2,r2,0.4711
9,location,mean,r2,0.4123
10,location,0,r2,0.3329
10,location,1,r2,0.3629
10,location,2,r2,0.5026
10,location,mean,r2,0.3995
