epoch,family,target,metric,score
1,radiomics,0,r2,0.7517
1,radiomics,1,r2,0.0713
1,radiomics,2,r2,0.6082
1,radiomics,mean,r2,0.4771
2,radiomics,0,r2,0.7783
2,radiomics,1,r2,-0.0348
2,radiomics,2,r2,0.6052
2,radiomics,mean,r2,0.4496
3,radiomics,0,r2,0.7681
3,radiomics,1,r2,0.0703
3,radiomics,2,r2,0.653
3,radiomics,mean,r2,0.4971
4,radiomics,0,r2,0.7806
4,radiomics,1,r2,0.0967
4,radiomics,2,r2,0.6485
4,radiomics,mean,r2,0.5086
5,radiomics,0,r2,0.7948
5,radiomics,1,r2,0.1175
5,radiomics,2,r2,0.6592
5,radiomics,mean,r2,0.5238
6,radiomics,0,r2,0.8017
6,radiomics,1,r2,0.1163
6,radiomics,2,r2,0.6622
6,radiomics,mean,r2,0.5267
7,radiomics,0,r2,0.8088
7,radiomics,1,r2,0.1235
7,radiomics,2,r2,0.665
7,radiomics,mean,r2,0.5324
8,radiomics,0,r2,0.8028
8,radiomics,1,r2,0.1143
8,radiomics,2,r2,0.6816
8,radiomics,mean,r2,0.5329
9,radiomics,0,r2,0.8122
9,radiomics,1,r2,0.1149
9,radiomics,2,r2,0.6835
9,radiomics,mean,r2,0.5368
10,radiomics,0,r2,0.806
10,radiomics,1,r2,0.1095
10,radiomics,2,r2,0.6829
10,radiomics,mean,r2,0.5328
