epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9232
1,disease,Arterial wall calcification,auroc,0.9296
1,disease,Cardiomegaly,auroc,0.9277
1,disease,Pericardial effusion,auroc,0.8528
1,disease,Coronary artery wall calcification,auroc,0.9361
1,disease,Hiatal hernia,auroc,0.7098
1,disease,Lymphadenopathy,auroc,0.755
1,disease,Emphysema,auroc,0.8029
1,disease,Atelectasis,auroc,0.8132
1,disease,Lung nodule,auroc,0.7352
1,disease,Lung opacity,auroc,0.8701
1,disease,Pulmonary fibrotic sequela,auroc,0.7367
1,disease,Pleural effusion,auroc,0.9686
1,disease,Mosaic attenuation pattern,auroc,0.8891
1,disease,Peribronchial thickening,auroc,0.8185
1,disease,Consolidation,auroc,0.9229
1,disease,Bronchiectasis,auroc,0.8001
1,disease,Interlobular septal thickening,auroc,0.875
1,disease,macro,auroc,0.8481
1,disease,micro,auroc,0.8504
2,disease,Medical material,auroc,0.9245
2,disease,Arterial wall calcification,auroc,0.93
2,disease,Cardiomegaly,auroc,0.9299
2,disease,Pericardial effusion,auroc,0.8626
2,disease,Coronary artery wall calcification,auroc,0.9338
2,disease,Hiatal hernia,auroc,0.7125
2,disease,Lymphadenopathy,auroc,0.7504
2,disease,Emphysema,auroc,0.8096
2,disease,Atelectasis,auroc,0.8157
2,disease,Lung nodule,auroc,0.7325
2,disease,Lung opacity,auroc,0.8718
2,disease,Pulmonary fibrotic sequela,auroc,0.7493
2,disease,Pleural effusion,auroc,0.9695
2,disease,Mosaic attenuation pattern,auroc,0.8893
2,disease,Peribronchial thickening,auroc,0.8179
2,disease,Consolidation,auroc,0.9232
2,disease,Bronchiectasis,auroc,0.7891
2,disease,Interlobular septal thickening,auroc,0.8847
2,disease,macro,auroc,0.8498
2,disease,micro,auroc,0.8586
3,disease,Medical material,auroc,0.9277
3,disease,Arterial wall calcification,auroc,0.9296
3,disease,Cardiomegaly,auroc,0.9263
3,disease,Pericardial effusion,auroc,0.8572
3,disease,Coronary artery wall calcification,auroc,0.9364
3,disease,Hiatal hernia,auroc,0.711
3,disease,Lymphadenopathy,auroc,0.7552
3,disease,Emphysema,auroc,0.8088
3,disease,Atelectasis,auroc,0.816
3,disease,Lung nodule,auroc,0.7338
3,disease,Lung opacity,auroc,0.8696
3,disease,Pulmonary fibrotic sequela,auroc,0.7547
3,disease,Pleural effusion,auroc,0.9675
3,disease,Mosaic attenuation pattern,auroc,0.8836
3,disease,Peribronchial thickening,auroc,0.818
3,disease,Consolidation,auroc,0.924
3,disease,Bronchiectasis,auroc,0.7912
3,disease,Interlobular septal thickening,auroc,0.8807
3,disease,macro,auroc,0.8495
3,disease,micro,auroc,0.8511
4,disease,Medical material,auroc,0.9253
4,disease,Arterial wall calcification,auroc,0.9326
4,disease,Cardiomegaly,auroc,0.932
4,disease,Pericardial effusion,auroc,0.861
4,disease,Coronary artery wall calcification,auroc,0.9353
4,disease,Hiatal hernia,auroc,0.7233
4,disease,Lymphadenopathy,auroc,0.7579
4,disease,Emphysema,auroc,0.8081
4,disease,Atelectasis,auroc,0.8195
4,disease,Lung nodule,auroc,0.7387
4,disease,Lung opacity,auroc,0.8712
