epoch,family,target,metric,score
1,size,0,r2,0.8265
1,size,1,r2,0.5334
1,size,2,r2,0.457
1,size,3,r2,0.6319
1,size,4,r2,0.6935
1,size,mean,r2,0.6285
2,size,0,r2,0.859
2,size,1,r2,0.5377
2,size,2,r2,0.5117
2,size,3,r2,0.6336
2,size,4,r2,0.7173
2,size,mean,r2,0.6518
3,size,0,r2,0.8703
3,size,1,r2,0.5575
3,size,2,r2,0.5198
3,size,3,r2,0.6396
3,size,4,r2,0.7166
3,size,mean,r2,0.6608
4,size,0,r2,0.8706
4,size,1,r2,0.5641
4,size,2,r2,0.5148
4,size,3,r2,0.6407
4,size,4,r2,0.7393
4,size,mean,r2,0.6659
5,size,0,r2,0.8623
5,size,1,r2,0.5801
5,size,2,r2,0.5344
5,size,3,r2,0.636
5,size,4,r2,0.7358
5,size,mean,r2,0.6697
6,size,0,r2,0.8688
6,size,1,r2,0.557
6,size,2,r2,0.5259
6,size,3,r2,0.6434
6,size,4,r2,0.748
6,size,mean,r2,0.6686
7,size,0,r2,0.8809
7,size,1,r2,0.552
7,size,2,r2,0.5287
7,size,3,r2,0.6385
7,size,4,r2,0.7331
7,size,mean,r2,0.6666
8,size,0,r2,0.864
8,size,1,r2,0.5803
8,size,2,r2,0.5284
8,size,3,r2,0.6511
8,size,4,r2,0.7434
8,size,mean,r2,0.6734
9,size,0,r2,0.852
9,size,1,r2,0.5483
9,size,2,r2,0.5233
9,size,3,r2,0.649
9,size,4,r2,0.7421
9,size,mean,r2,0.6629
10,size,0,r2,0.8742
10,size,1,r2,0.5666
10,size,2,r2,0.514
10,size,3,r2,0.6402
10,size,4,r2,0.7389
10,size,mean,r2,0.6668
