epoch,family,target,metric,score
1,density,0,r2,0.8016
1,density,1,r2,0.4488
1,density,2,r2,0.9191
1,density,3,r2,0.9055
1,density,mean,r2,0.7688
2,density,0,r2,0.8183
2,density,1,r2,0.5524
2,density,2,r2,0.9286
2,density,3,r2,0.922
2,density,mean,r2,0.8053
3,density,0,r2,0.817
3,density,1,r2,0.6028
3,density,2,r2,0.9362
3,density,3,r2,0.9148
3,density,mean,r2,0.8177
4,density,0,r2,0.8079
4,density,1,r2,0.6664
4,density,2,r2,0.9435
4,density,3,r2,0.9246
4,density,mean,r2,0.8356
5,density,0,r2,0.8331
5,density,1,r2,0.6841
5,density,2,r2,0.9489
5,density,3,r2,0.927
5,density,mean,r2,0.8483
6,density,0,r2,0.8255
6,density,1,r2,0.7006
6,density,2,r2,0.9561
6,density,3,r2,0.9352
6,density,mean,r2,0.8543
7,density,0,r2,0.8255
7,density,1,r2,0.7127
7,density,2,r2,0.9484
7,density,3,r2,0.9286
7,density,mean,r2,0.8538
8,density,0,r2,0.8388
8,density,1,r2,0.7538
8,density,2,r2,0.9554
8,density,3,r2,0.936
8,density,mean,r2,0.871
9,density,0,r2,0.83
9,density,1,r2,0.7583
9,density,2,r2,0.9545
9,density,3,r2,0.9341
9,density,mean,r2,0.8692
10,density,0,r2,0.8357
10,density,1,r2,0.7533
10,density,2,r2,0.9579
10,density,3,r2,0.9374
10,density,mean,r2,0.8711
