epoch,family,target,metric,score
1,location,0,r2,0.3875
1,location,1,r2,0.2692
1,location,2,r2,0.3486
1,location,mean,r2,0.3351
2,location,0,r2,0.5591
2,location,1,r2,0.384
2,location,2,r2,0.3889
2,location,mean,r2,0.444
3,location,0,r2,0.5883
3,location,1,r2,0.3961
3,location,2,r2,0.4185
3,location,mean,r2,0.4676
4,location,0,r2,0.5774
4,location,1,r2,0.4047
4,location,2,r2,0.4394
4,location,mean,r2,0.4739
5,location,0,r2,0.6265
5,location,1,r2,0.4112
5,location,2,r2,0.4718
5,location,mean,r2,0.5032
6,location,0,r2,0.6354
6,location,1,r2,0.4264
6,location,2,r2,0.4959
6,location,mean,r2,0.5192
7,location,0,r2,0.6316
7,location,1,r2,0.4258
7,location,2,r2,0.524
7,location,mean,r2,0.5271
8,location,0,r2,0.6668
8,location,1,r2,0.4532
8,location,2,r2,0.5308
8,location,mean,r2,0.5503
9,location,0,r2,0.6172
9,location,1,r2,0.4449
9,location,2,r2,0.5319
9,location,mean,r2,0.5313
10,location,0,r2,0.6816
10,location,1,r2,0.4859
10,location,2,r2,0.5598
10,location,mean,r2,0.5758
