epoch,family,target,metric,score
1,radiomics,0,r2,0.9089
1,radiomics,1,r2,0.1826
1,radiomics,2,r2,0.8426
1,radiomics,mean,r2,0.6447
2,radiomics,0,r2,0.9205
2,radiomics,1,r2,0.2521
2,radiomics,2,r2,0.8865
2,radiomics,mean,r2,0.6864
3,radiomics,0,r2,0.9163
3,radiomics,1,r2,0.3328
3,radiomics,2,r2,0.8872
3,radiomics,mean,r2,0.7121
4,radiomics,0,r2,0.9287
4,radiomics,1,r2,0.3828
4,radiomics,2,r2,0.8864
4,radiomics,mean,r2,0.7326
5,radiomics,0,r2,0.9281
5,radiomics,1,r2,0.4612
5,radiomics,2,r2,0.8947
5,radiomics,mean,r2,0.7614
6,radiomics,0,r2,0.9251
6,radiomics,1,r2,0.4784
6,radiomics,2,r2,0.8998
6,radiomics,mean,r2,0.7678
7,radiomics,0,r2,0.9253
7,radiomics,1,r2,0.5159
7,radiomics,2,r2,0.9014
7,radiomics,mean,r2,0.7809
8,radiomics,0,r2,0.9313
8,radiomics,1,r2,0.4799
8,radiomics,2,r2,0.8885
8,radiomics,mean,r2,0.7666
9,radiomics,0,r2,0.9323
9,radiomics,1,r2,0.4157
9,radiomics,2,r2,0.907
9,radiomics,mean,r2,0.7517
10,radiomics,0,r2,0.9243
10,radiomics,1,r2,0.47
10,radiomics,2,r2,0.9049
10,radiomics,mean,r2,0.7664
