epoch,family,target,metric,score
1,density,0,r2,0.2991
1,density,1,r2,0.1061
1,density,2,r2,0.7115
1,density,3,r2,0.6626
1,density,mean,r2,0.4448
2,density,0,r2,0.3292
2,density,1,r2,0.1438
2,density,2,r2,0.7587
2,density,3,r2,0.707
2,density,mean,r2,0.4847
3,density,0,r2,0.3691
3,density,1,r2,0.1441
3,density,2,r2,0.7476
3,density,3,r2,0.6577
3,density,mean,r2,0.4796
4,density,0,r2,0.3655
4,density,1,r2,0.1464
4,density,2,r2,0.773
4,density,3,r2,0.706
4,density,mean,r2,0.4977
5,density,0,r2,0.3796
5,density,1,r2,0.1421
5,density,2,r2,0.8003
5,density,3,r2,0.7334
5,density,mean,r2,0.5138
6,density,0,r2,0.402
6,density,1,r2,0.1585
6,density,2,r2,0.7816
6,density,3,r2,0.7155
6,density,mean,r2,0.5144
7,density,0,r2,0.3994
7,density,1,r2,0.1557
7,density,2,r2,0.7884
7,density,3,r2,0.6868
7,density,mean,r2,0.5076
8,density,0,r2,0.3615
8,density,1,r2,0.1553
8,density,2,r2,0.8041
8,density,3,r2,0.7271
8,density,mean,r2,0.512
9,density,0,r2,0.409
9,density,1,r2,0.1378
9,density,2,r2,0.8061
9,density,3,r2,0.7288
9,density,mean,r2,0.5204
10,density,0,r2,0.4109
10,density,1,r2,0.1705
10,density,2,r2,0.8109
10,density,3,r2,0.7445
10,density,mean,r2,0.5342
