epoch,family,target,metric,score
1,radiomics,0,r2,0.7038
1,radiomics,1,r2,0.077
1,radiomics,2,r2,0.6162
1,radiomics,mean,r2,0.4657
2,radiomics,0,r2,0.7727
2,radiomics,1,r2,0.0824
2,radiomics,2,r2,0.6431
2,radiomics,mean,r2,0.4994
3,radiomics,0,r2,0.7672
3,radiomics,1,r2,0.0911
3,radiomics,2,r2,0.6518
3,radiomics,mean,r2,0.5034
4,radiomics,0,r2,0.7844
4,radiomics,1,r2,0.0897
4,radiomics,2,r2,0.6647
4,radiomics,mean,r2,0.5129
5,radiomics,0,r2,0.8052
5,radiomics,1,r2,0.0988
5,radiomics,2,r2,0.6592
5,radiomics,mean,r2,0.521
6,radiomics,0,r2,0.7853
6,radiomics,1,r2,0.0875
6,radiomics,2,r2,0.6557
6,radiomics,mean,r2,0.5095
7,radiomics,0,r2,0.8053
7,radiomics,1,r2,0.0679
7,radiomics,2,r2,0.6406
7,radiomics,mean,r2,0.5046
8,radiomics,0,r2,0.8061
8,radiomics,1,r2,0.0561
8,radiomics,2,r2,0.6807
8,radiomics,mean,r2,0.5143
9,radiomics,0,r2,0.8222
9,radiomics,1,r2,0.0912
9,radiomics,2,r2,0.6497
9,radiomics,mean,r2,0.5211
10,radiomics,0,r2,0.8136
10,radiomics,1,r2,0.093
10,radiomics,2,r2,0.6545
10,radiomics,mean,r2,0.5203
