epoch,family,target,metric,score
1,disease,Medical material,auroc,0.7023
1,disease,Arterial wall calcification,auroc,0.7228
1,disease,Cardiomegaly,auroc,0.8367
1,disease,Pericardial effusion,auroc,0.7484
1,disease,Coronary artery wall calcification,auroc,0.7087
1,disease,Hiatal hernia,auroc,0.6268
1,disease,Lymphadenopathy,auroc,0.6503
1,disease,Emphysema,auroc,0.6166
1,disease,Atelectasis,auroc,0.6522
1,disease,Lung nodule,auroc,0.5823
1,disease,Lung opacity,auroc,0.632
1,disease,Pulmonary fibrotic sequela,auroc,0.568
1,disease,Pleural effusion,auroc,0.8738
1,disease,Mosaic attenuation pattern,auroc,0.7505
1,disease,Peribronchial thickening,auroc,0.6245
1,disease,Consolidation,auroc,0.6979
1,disease,Bronchiectasis,auroc,0.6169
1,disease,Interlobular septal thickening,auroc,0.7512
1,disease,macro,auroc,0.6868
1,disease,micro,auroc,0.6802
2,disease,Medical material,auroc,0.7035
2,disease,Arterial wall calcification,auroc,0.7573
2,disease,Cardiomegaly,auroc,0.8559
2,disease,Pericardial effusion,auroc,0.7617
2,disease,Coronary artery wall calcification,auroc,0.7498
2,disease,Hiatal hernia,auroc,0.6403
2,disease,Lymphadenopathy,auroc,0.6647
2,disease,Emphysema,auroc,0.6518
2,disease,Atelectasis,auroc,0.659
2,disease,Lung nodule,auroc,0.5918
2,disease,Lung opacity,auroc,0.6315
2,disease,Pulmonary fibrotic sequela,auroc,0.5981
2,disease,Pleural effusion,auroc,0.8885
2,disease,Mosaic attenuation pattern,auroc,0.759
2,disease,Peribronchial thickening,auroc,0.6641
2,disease,Consolidation,auroc,0.7002
2,disease,Bronchiectasis,auroc,0.6365
2,disease,Interlobular septal thickening,auroc,0.7642
2,disease,macro,auroc,0.7043
2,disease,micro,auroc,0.6944
3,disease,Medical material,auroc,0.7005
3,disease,Arterial wall calcification,auroc,0.7671
3,disease,Cardiomegaly,auroc,0.858
3,disease,Pericardial effusion,auroc,0.76
3,disease,Coronary artery wall calcification,auroc,0.763
3,disease,Hiatal hernia,auroc,0.6603
3,disease,Lymphadenopathy,auroc,0.6696
3,disease,Emphysema,auroc,0.6741
3,disease,Atelectasis,auroc,0.6673
3,disease,Lung nodule,auroc,0.6008
3,disease,Lung opacity,auroc,0.638
3,disease,Pulmonary fibrotic sequela,auroc,0.6124
3,disease,Pleural effusion,auroc,0.8919
3,disease,Mosaic attenuation pattern,auroc,0.765
3,disease,Peribronchial thickening,auroc,0.6821
3,disease,Consolidation,auroc,0.7036
3,disease,Bronchiectasis,auroc,0.6436
3,disease,Interlobular septal thickening,auroc,0.7644
3,disease,macro,auroc,0.7123
3,disease,micro,auroc,0.7052
4,disease,Medical material,auroc,0.7118
4,disease,Arterial wall calcification,auroc,0.776
4,disease,Cardiomegaly,auroc,0.8657
4,disease,Pericardial effusion,auroc,0.7583
4,disease,Coronary artery wall calcification,auroc,0.7727
4,disease,Hiatal hernia,auroc,0.6551
4,disease,Lymphadenopathy,auroc,0.6706
4,disease,Emphysema,auroc,0.6776
4,disease,Atelectasis,auroc,0.655
4,disease,Lung nodule,auroc,0.6065
4,disease,Lung opacity,auroc,0.6383
4,disease,Pulmonary fibrotic sequela,auroc,0.6108
4,disease,Pleural effusion,auroc,0.8922
4,disease,Mosaic attenuation pattern,auroc,0.7747
4,disease,Peribronchial thickening,auroc,0.6947
4,disease,Consolidation,auroc,0.7063
4,disease,Bronchiectasis,auroc,0.646
4,disease,Interlobular septal thickening,auroc,0.769
4,disease,macro,auroc,0.7156
4,disease,micro,auroc,0.7243
5,disease,Medical material,auroc,0.7112
5,disease,Arterial wall calcification,auroc,0.7605
5,disease,Cardiomegaly,auroc,0.8647
5,disease,Pericardial effusion,auroc,0.7671
5,disease,Coronary artery wall calcification,auroc,0.7574
5,disease,Hiatal hernia,auroc,0.6502
5,disease,Lymphadenopathy,auroc,0.6671
5,disease,Emphysema,auroc,0.6802
5,disease,Atelectasis,auroc,0.66
5,disease,Lung nodule,auroc,0.6069
5,disease,Lung opacity,auroc,0.6389
