epoch,family,target,metric,score
1,location,0,r2,0.201
1,location,1,r2,0.2336
1,location,2,r2,0.3506
1,location,mean,r2,0.2617
2,location,0,r2,0.2271
2,location,1,r2,0.3054
2,location,2,r2,0.4376
2,location,mean,r2,0.3234
3,location,0,r2,0.281
3,location,1,r2,0.3439
3,location,2,r2,0.4681
3,location,mean,r2,0.3643
4,location,0,r2,0.327
4,location,1,r2,0.3695
4,location,2,r2,0.4589
4,location,mean,r2,0.3851
5,location,0,r2,0.3331
5,location,1,r2,0.3499
5,location,2,r2,0.4779
5,location,mean,r2,0.387
6,location,0,r2,0.307
6,location,1,r2,0.3769
6,location,2,r2,0.4756
6,location,mean,r2,0.3865
7,location,0,r2,0.3528
7,location,1,r2,0.3776
7,location,2,r2,0.503
7,location,mean,r2,0.4111
8,location,0,r2,0.3541
8,location,1,r2,0.3857
8,location,2,r2,0.4813
8,location,mean,r2,0.407
9,location,0,r2,0.3493
9,location,1,r2,0.4025
9,location,2,r2,0.5089
9,location,mean,r2,0.4202
10,location,0,r2,0.3453
10,location,1,r2,0.3967
10,location,2,r2,0.4843
10,location,mean,r2,0.4088
