epoch,family,target,metric,score
1,size,0,r2,0.6505
1,size,1,r2,0.1508
1,size,2,r2,0.3234
1,size,3,r2,0.3762
1,size,4,r2,0.4367
1,size,mean,r2,0.3875
2,size,0,r2,0.7025
2,size,1,r2,0.2117
2,size,2,r2,0.3465
2,size,3,r2,0.3734
2,size,4,r2,0.4884
2,size,mean,r2,0.4245
3,size,0,r2,0.6914
3,size,1,r2,0.2593
3,size,2,r2,0.3977
3,size,3,r2,0.4077
3,size,4,r2,0.4687
3,size,mean,r2,0.445
4,size,0,r2,0.7282
4,size,1,r2,0.2843
4,size,2,r2,0.3917
4,size,3,r2,0.4439
4,size,4,r2,0.4993
4,size,mean,r2,0.4695
5,size,0,r2,0.7254
5,size,1,r2,0.2903
5,size,2,r2,0.3837
5,size,3,r2,0.4339
5,size,4,r2,0.5113
5,size,mean,r2,0.4689
6,size,0,r2,0.7326
6,size,1,r2,0.2988
6,size,2,r2,0.4054
6,size,3,r2,0.4385
6,size,4,r2,0.5134
6,size,mean,r2,0.4777
7,size,0,r2,0.7352
7,size,1,r2,0.2828
7,size,2,r2,0.4138
7,size,3,r2,0.443
7,size,4,r2,0.5131
7,size,mean,r2,0.4776
8,size,0,r2,0.7347
8,size,1,r2,0.3162
8,size,2,r2,0.4255
8,size,3,r2,0.4505
8,size,4,r2,0.5334
8,size,mean,r2,0.4921
9,size,0,r2,0.7435
9,size,1,r2,0.3455
9,size,2,r2,0.4262
9,size,3,r2,0.4658
9,size,4,r2,0.5161
9,size,mean,r2,0.4994
10,size,0,r2,0.6591
10,size,1,r2,0.3106
10,size,2,r2,0.4263
10,size,3,r2,0.4828
10,size,4,r2,0.4772
10,size,mean,r2,0.4712
