epoch,family,target,metric,score
1,density,0,r2,0.816
1,density,1,r2,0.6464
1,density,2,r2,0.9272
1,density,3,r2,0.9053
1,density,mean,r2,0.8237
2,density,0,r2,0.8348
2,density,1,r2,0.7482
2,density,2,r2,0.9162
2,density,3,r2,0.9119
2,density,mean,r2,0.8528
3,density,0,r2,0.8401
3,density,1,r2,0.7866
3,density,2,r2,0.9353
3,density,3,r2,0.9257
3,density,mean,r2,0.8719
4,density,0,r2,0.8336
4,density,1,r2,0.7888
4,density,2,r2,0.951
4,density,3,r2,0.9266
4,density,mean,r2,0.875
5,density,0,r2,0.8499
5,density,1,r2,0.8651
5,density,2,r2,0.9541
5,density,3,r2,0.9319
5,density,mean,r2,0.9003
6,density,0,r2,0.8411
6,density,1,r2,0.8708
6,density,2,r2,0.9575
6,density,3,r2,0.9352
6,density,mean,r2,0.9011
7,density,0,r2,0.8526
7,density,1,r2,0.8638
7,density,2,r2,0.9542
7,density,3,r2,0.9343
7,density,mean,r2,0.9012
8,density,0,r2,0.8482
8,density,1,r2,0.8823
8,density,2,r2,0.9601
8,density,3,r2,0.939
8,density,mean,r2,0.9074
9,density,0,r2,0.8493
9,density,1,r2,0.8668
9,density,2,r2,0.9623
9,density,3,r2,0.9375
9,density,mean,r2,0.904
10,density,0,r2,0.8491
10,density,1,r2,0.8797
10,density,2,r2,0.9605
10,density,3,r2,0.9371
10,density,mean,r2,0.9066
