epoch,family,target,metric,score
1,disease,Medical material,auroc,0.9246
1,disease,Arterial wall calcification,auroc,0.9316
1,disease,Cardiomegaly,auroc,0.93
1,disease,Pericardial effusion,auroc,0.8529
1,disease,Coronary artery wall calcification,auroc,0.9349
1,disease,Hiatal hernia,auroc,0.7064
1,disease,Lymphadenopathy,auroc,0.7545
1,disease,Emphysema,auroc,0.8031
1,disease,Atelectasis,auroc,0.8165
1,disease,Lung nodule,auroc,0.7443
1,disease,Lung opacity,auroc,0.871
1,disease,Pulmonary fibrotic sequela,auroc,0.7453
1,disease,Pleural effusion,auroc,0.9671
1,disease,Mosaic attenuation pattern,auroc,0.888
1,disease,Peribronchial thickening,auroc,0.818
1,disease,Consolidation,auroc,0.921
1,disease,Bronchiectasis,auroc,0.795
1,disease,Interlobular septal thickening,auroc,0.8888
1,disease,macro,auroc,0.8496
1,disease,micro,auroc,0.857
2,disease,Medical material,auroc,0.9287
2,disease,Arterial wall calcification,auroc,0.93
2,disease,Cardiomegaly,auroc,0.9283
2,disease,Pericardial effusion,auroc,0.8604
2,disease,Coronary artery wall calcification,auroc,0.934
2,disease,Hiatal hernia,auroc,0.7079
2,disease,Lymphadenopathy,auroc,0.7576
2,disease,Emphysema,auroc,0.8057
2,disease,Atelectasis,auroc,0.8157
2,disease,Lung nodule,auroc,0.741
2,disease,Lung opacity,auroc,0.8696
2,disease,Pulmonary fibrotic sequela,auroc,0.7468
2,disease,Pleural effusion,auroc,0.9672
2,disease,Mosaic attenuation pattern,auroc,0.8888
2,disease,Peribronchial thickening,auroc,0.8199
2,disease,Consolidation,auroc,0.9233
2,disease,Bronchiectasis,auroc,0.8055
2,disease,Interlobular septal thickening,auroc,0.8778
2,disease,macro,auroc,0.8505
2,disease,micro,auroc,0.861
3,disease,Medical material,auroc,0.9291
3,disease,Arterial wall calcification,auroc,0.9301
3,disease,Cardiomegaly,auroc,0.931
3,disease,Pericardial effusion,auroc,0.8471
3,disease,Coronary artery wall calcification,auroc,0.9328
3,disease,Hiatal hernia,auroc,0.7147
3,disease,Lymphadenopathy,auroc,0.7566
3,disease,Emphysema,auroc,0.7996
3,disease,Atelectasis,auroc,0.8061
3,disease,Lung nodule,auroc,0.7446
3,disease,Lung opacity,auroc,0.8692
3,disease,Pulmonary fibrotic sequela,auroc,0.7467
3,disease,Pleural effusion,auroc,0.9644
3,disease,Mosaic attenuation pattern,auroc,0.8875
3,disease,Peribronchial thickening,auroc,0.8059
3,disease,Consolidation,auroc,0.9263
3,disease,Bronchiectasis,auroc,0.7976
3,disease,Interlobular septal thickening,auroc,0.8816
3,disease,macro,auroc,0.8484
3,disease,micro,auroc,0.86
4,disease,Medical material,auroc,0.9319
4,disease,Arterial wall calcification,auroc,0.9313
4,disease,Cardiomegaly,auroc,0.9333
4,disease,Pericardial effusion,auroc,0.8579
4,disease,Coronary artery wall calcification,auroc,0.9343
4,disease,Hiatal hernia,auroc,0.7075
4,disease,Lymphadenopathy,auroc,0.756
4,disease,Emphysema,auroc,0.8072
4,disease,Atelectasis,auroc,0.8115
4,disease,Lung nodule,auroc,0.7446
4,disease,Lung opacity,auroc,0.8699
4,disease,Pulmonary fibrotic sequela,auroc,0.7494
4,disease,Pleural effusion,auroc,0.9658
4,disease,Mosaic attenuation pattern,auroc,0.8871
4,disease,Peribronchial thickening,auroc,0.8117
4,disease,Consolidation,auroc,0.9231
4,disease,Bronchiectasis,auroc,0.795
4,disease,Interlobular septal thickening,auroc,0.8825
4,disease,macro,auroc,0.85
4,disease,micro,auroc,0.8599
5,disease,Medical material,auroc,0.9329
5,disease,Arterial wall calcification,auroc,0.9302
5,disease,Cardiomegaly,auroc,0.9331
5,disease,Pericardial effusion,auroc,0.8553
5,disease,Coronary artery wall calcification,auroc,0.9355
5,disease,Hiatal hernia,auroc,0.7108
5,disease,Lymphadenopathy,auroc,0.7587
5,disease,Emphysema,auroc,0.8054
5,disease,Atelectasis,auroc,0.8117
