epoch,family,target,metric,score
1,radiomics,0,r2,0.9157
1,radiomics,1,r2,0.2767
1,radiomics,2,r2,0.8609
1,radiomics,mean,r2,0.6844
2,radiomics,0,r2,0.9045
2,radiomics,1,r2,0.3301
2,radiomics,2,r2,0.8775
2,radiomics,mean,r2,0.704
3,radiomics,0,r2,0.9275
3,radiomics,1,r2,0.4175
3,radiomics,2,r2,0.8856
3,radiomics,mean,r2,0.7436
4,radiomics,0,r2,0.9158
4,radiomics,1,r2,0.5398
4,radiomics,2,r2,0.8655
4,radiomics,mean,r2,0.7737
5,radiomics,0,r2,0.9305
5,radiomics,1,r2,0.5091
5,radiomics,2,r2,0.9013
5,radiomics,mean,r2,0.7803
6,radiomics,0,r2,0.9331
6,radiomics,1,r2,0.4771
6,radiomics,2,r2,0.8855
6,radiomics,mean,r2,0.7652
7,radiomics,0,r2,0.9316
7,radiomics,1,r2,0.4888
7,radiomics,2,r2,0.9052
7,radiomics,mean,r2,0.7752
8,radiomics,0,r2,0.9302
8,radiomics,1,r2,0.5418
8,radiomics,2,r2,0.9027
8,radiomics,mean,r2,0.7916
9,radiomics,0,r2,0.9374
9,radiomics,1,r2,0.5626
9,radiomics,2,r2,0.9044
9,radiomics,mean,r2,0.8015
10,radiomics,0,r2,0.9221
10,radiomics,1,r2,0.5758
10,radiomics,2,r2,0.9079
10,radiomics,mean,r2,0.8019
