epoch,family,target,metric,score
1,size,0,r2,0.8658
1,size,1,r2,0.5403
1,size,2,r2,0.505
1,size,3,r2,0.6362
1,size,4,r2,0.7269
1,size,mean,r2,0.6548
2,size,0,r2,0.8687
2,size,1,r2,0.5684
2,size,2,r2,0.5235
2,size,3,r2,0.641
2,size,4,r2,0.743
2,size,mean,r2,0.6689
3,size,0,r2,0.8782
3,size,1,r2,0.561
3,size,2,r2,0.531
3,size,3,r2,0.6502
3,size,4,r2,0.7605
3,size,mean,r2,0.6762
4,size,0,r2,0.8893
4,size,1,r2,0.5506
4,size,2,r2,0.5353
4,size,3,r2,0.6563
4,size,4,r2,0.7602
4,size,mean,r2,0.6783
5,size,0,r2,0.889
5,size,1,r2,0.5963
5,size,2,r2,0.5426
5,size,3,r2,0.6516
5,size,4,r2,0.7598
5,size,mean,r2,0.6879
6,size,0,r2,0.887
6,size,1,r2,0.5905
6,size,2,r2,0.5357
6,size,3,r2,0.6491
6,size,4,r2,0.7695
6,size,mean,r2,0.6863
7,size,0,r2,0.8843
7,size,1,r2,0.5814
7,size,2,r2,0.5394
7,size,3,r2,0.6488
7,size,4,r2,0.7657
7,size,mean,r2,0.6839
8,size,0,r2,0.886
8,size,1,r2,0.5771
8,size,2,r2,0.5361
8,size,3,r2,0.6388
8,size,4,r2,0.7838
8,size,mean,r2,0.6844
9,size,0,r2,0.8893
9,size,1,r2,0.5906
9,size,2,r2,0.5401
9,size,3,r2,0.6554
9,size,4,r2,0.7867
9,size,mean,r2,0.6924
10,size,0,r2,0.8891
10,size,1,r2,0.602
10,size,2,r2,0.5474
10,size,3,r2,0.6508
10,size,4,r2,0.7812
10,size,mean,r2,0.6941
