epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.0711
1,2026,density,1,r2,0.3062
1,2026,density,2,r2,0.0464
1,2026,density,3,r2,0.0355
1,2026,density,mean,r2,0.1148
2,2026,density,0,r2,0.0966
2,2026,density,1,r2,0.3725
2,2026,density,2,r2,0.0725
2,2026,density,3,r2,0.078
2,2026,density,mean,r2,0.1549
3,2026,density,0,r2,0.0971
3,2026,density,1,r2,0.4068
3,2026,density,2,r2,0.0924
3,2026,density,3,r2,0.0989
3,2026,density,mean,r2,0.1738
4,2026,density,0,r2,0.1305
4,2026,density,1,r2,0.3952
4,2026,density,2,r2,0.1037
4,2026,density,3,r2,0.1081
4,2026,density,mean,r2,0.1844
5,2026,density,0,r2,0.1362
5,2026,density,1,r2,0.4337
5,2026,density,2,r2,0.1187
5,2026,density,3,r2,0.1233
5,2026,density,mean,r2,0.203
6,2026,density,0,r2,0.1206
6,2026,density,1,r2,0.4338
6,2026,density,2,r2,0.1216
6,2026,density,3,r2,0.1253
6,2026,density,mean,r2,0.2003
7,2026,density,0,r2,0.1445
7,2026,density,1,r2,0.4314
7,2026,density,2,r2,0.1334
7,2026,density,3,r2,0.1372
7,2026,density,mean,r2,0.2116
8,2026,density,0,r2,0.144
8,2026,density,1,r2,0.4461
8,2026,density,2,r2,0.1414
8,2026,density,3,r2,0.1447
8,2026,density,mean,r2,0.219
9,2026,density,0,r2,0.1498
9,2026,density,1,r2,0.4287
9,2026,density,2,r2,0.147
9,2026,density,3,r2,0.1448
9,2026,density,mean,r2,0.2176
10,2026,density,0,r2,0.148
10,2026,density,1,r2,0.408
10,2026,density,2,r2,0.1445
10,2026,density,3,r2,0.1557
10,2026,density,mean,r2,0.214
1,2027,density,0,r2,0.0679
1,2027,density,1,r2,0.2855
1,2027,density,2,r2,0.0324
1,2027,density,3,r2,0.0219
1,2027,density,mean,r2,0.1019
2,2027,density,0,r2,0.0636
2,2027,density,1,r2,0.3353
2,2027,density,2,r2,0.0409
2,2027,density,3,r2,0.0498
2,2027,density,mean,r2,0.1224
3,2027,density,0,r2,0.1149
3,2027,density,1,r2,0.3719
3,2027,density,2,r2,0.0768
3,2027,density,3,r2,0.0769
3,2027,density,mean,r2,0.1601
4,2027,density,0,r2,0.1175
4,2027,density,1,r2,0.3644
4,2027,density,2,r2,0.0846
4,2027,density,3,r2,0.0755
4,2027,density,mean,r2,0.1605
5,2027,density,0,r2,0.1228
5,2027,density,1,r2,0.4031
5,2027,density,2,r2,0.0934
5,2027,density,3,r2,0.1051
5,2027,density,mean,r2,0.1811
6,2027,density,0,r2,0.134
6,2027,density,1,r2,0.4185
6,2027,density,2,r2,0.0979
6,2027,density,3,r2,0.0962
6,2027,density,mean,r2,0.1867
7,2027,density,0,r2,0.1297
7,2027,density,1,r2,0.4117
7,2027,density,2,r2,0.0975
7,2027,density,3,r2,0.0961
7,2027,density,mean,r2,0.1837
8,2027,density,0,r2,0.1417
8,2027,density,1,r2,0.436
8,2027,density,2,r2,0.117
8,2027,density,3,r2,0.1173
8,2027,density,mean,r2,0.203
9,2027,density,0,r2,0.1573
9,2027,density,1,r2,0.4285
9,2027,density,2,r2,0.1038
9,2027,density,3,r2,0.124
9,2027,density,mean,r2,0.2034
10,2027,density,0,r2,0.1593
10,2027,density,1,r2,0.4309
10,2027,density,2,r2,0.1042
10,2027,density,3,r2,0.1211
10,2027,density,mean,r2,0.2039
1,2028,density,0,r2,0.0748
1,2028,density,1,r2,0.2779
1,2028,density,2,r2,0.0455
1,2028,density,3,r2,0.0396
1,2028,density,mean,r2,0.1094
2,2028,density,0,r2,0.0868
2,2028,density,1,r2,0.3567
2,2028,density,2,r2,0.0605
2,2028,density,3,r2,0.0573
2,2028,density,mean,r2,0.1403
3,2028,density,0,r2,0.1001
3,2028,density,1,r2,0.3725
3,2028,density,2,r2,0.0725
3,2028,density,3,r2,0.0657
3,2028,density,mean,r2,0.1527
4,2028,density,0,r2,0.1142
4,2028,density,1,r2,0.408
4,2028,density,2,r2,0.0871
4,2028,density,3,r2,0.0842
4,2028,density,mean,r2,0.1734
5,2028,density,0,r2,0.1307
5,2028,density,1,r2,0.4339
5,2028,density,2,r2,0.1045
5,2028,density,3,r2,0.0963
5,2028,density,mean,r2,0.1913
6,2028,density,0,r2,0.1299
6,2028,density,1,r2,0.4408
6,2028,density,2,r2,0.0878
6,2028,density,3,r2,0.0903
6,2028,density,mean,r2,0.1872
7,2028,density,0,r2,0.1384
7,2028,density,1,r2,0.4561
7,2028,density,2,r2,0.0952
7,2028,density,3,r2,0.1024
7,2028,density,mean,r2,0.198
8,2028,density,0,r2,0.144
8,2028,density,1,r2,0.458
8,2028,density,2,r2,0.1186
8,2028,density,3,r2,0.1124
8,2028,density,mean,r2,0.2082
9,2028,density,0,r2,0.1496
9,2028,density,1,r2,0.4635
9,2028,density,2,r2,0.1163
9,2028,density,3,r2,0.1204
9,2028,density,mean,r2,0.2124
10,2028,density,0,r2,0.1494
10,2028,density,1,r2,0.4687
10,2028,density,2,r2,0.1164
10,2028,density,3,r2,0.1194
10,2028,density,mean,r2,0.2134
