epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0081
1,2026,location,1,r2,0.0414
1,2026,location,2,r2,0.0434
1,2026,location,mean,r2,0.031
2,2026,location,0,r2,0.0084
2,2026,location,1,r2,0.0302
2,2026,location,2,r2,0.0453
2,2026,location,mean,r2,0.0279
3,2026,location,0,r2,0.0112
3,2026,location,1,r2,0.0557
3,2026,location,2,r2,0.0593
3,2026,location,mean,r2,0.0421
4,2026,location,0,r2,0.0081
4,2026,location,1,r2,0.0459
4,2026,location,2,r2,0.0737
4,2026,location,mean,r2,0.0425
5,2026,location,0,r2,0.0115
5,2026,location,1,r2,0.0684
5,2026,location,2,r2,0.0812
5,2026,location,mean,r2,0.0537
6,2026,location,0,r2,0.0112
6,2026,location,1,r2,0.0589
6,2026,location,2,r2,0.091
6,2026,location,mean,r2,0.0537
7,2026,location,0,r2,0.003
7,2026,location,1,r2,0.0511
7,2026,location,2,r2,0.0979
7,2026,location,mean,r2,0.0507
8,2026,location,0,r2,0.0096
8,2026,location,1,r2,0.0496
8,2026,location,2,r2,0.0716
8,2026,location,mean,r2,0.0436
9,2026,location,0,r2,0.0069
9,2026,location,1,r2,0.0628
9,2026,location,2,r2,0.1122
9,2026,location,mean,r2,0.0606
10,2026,location,0,r2,0.0044
10,2026,location,1,r2,0.0752
10,2026,location,2,r2,0.1074
10,2026,location,mean,r2,0.0624
1,2027,location,0,r2,0.0109
1,2027,location,1,r2,0.0455
1,2027,location,2,r2,0.0434
1,2027,location,mean,r2,0.0333
2,2027,location,0,r2,0.0088
2,2027,location,1,r2,0.0384
2,2027,location,2,r2,0.0448
2,2027,location,mean,r2,0.0307
3,2027,location,0,r2,0.006
3,2027,location,1,r2,0.0431
3,2027,location,2,r2,0.0503
3,2027,location,mean,r2,0.0332
4,2027,location,0,r2,0.0088
4,2027,location,1,r2,0.0534
4,2027,location,2,r2,0.0716
4,2027,location,mean,r2,0.0446
5,2027,location,0,r2,0.0053
5,2027,location,1,r2,0.0652
5,2027,location,2,r2,0.0824
5,2027,location,mean,r2,0.051
6,2027,location,0,r2,0.008
6,2027,location,1,r2,0.0574
6,2027,location,2,r2,0.0802
6,2027,location,mean,r2,0.0485
7,2027,location,0,r2,0.0076
7,2027,location,1,r2,0.0776
7,2027,location,2,r2,0.0922
7,2027,location,mean,r2,0.0591
8,2027,location,0,r2,0.0058
8,2027,location,1,r2,0.0832
8,2027,location,2,r2,0.0734
8,2027,location,mean,r2,0.0541
9,2027,location,0,r2,0.0101
9,2027,location,1,r2,0.0824
9,2027,location,2,r2,0.0924
9,2027,location,mean,r2,0.0616
10,2027,location,0,r2,0.0084
10,2027,location,1,r2,0.0896
10,2027,location,2,r2,0.0971
10,2027,location,mean,r2,0.0651
1,2028,location,0,r2,0.0066
1,2028,location,1,r2,0.0396
1,2028,location,2,r2,0.0445
1,2028,location,mean,r2,0.0302
2,2028,location,0,r2,0.0119
2,2028,location,1,r2,0.0479
2,2028,location,2,r2,0.0409
2,2028,location,mean,r2,0.0336
3,2028,location,0,r2,0.0045
3,2028,location,1,r2,0.0299
3,2028,location,2,r2,0.0457
3,2028,location,mean,r2,0.0267
4,2028,location,0,r2,0.0095
4,2028,location,1,r2,0.0436
4,2028,location,2,r2,0.056
4,2028,location,mean,r2,0.0363
5,2028,location,0,r2,0.0101
5,2028,location,1,r2,0.0351
5,2028,location,2,r2,0.0679
5,2028,location,mean,r2,0.0377
6,2028,location,0,r2,0.0086
6,2028,location,1,r2,0.0507
6,2028,location,2,r2,0.0807
6,2028,location,mean,r2,0.0467
7,2028,location,0,r2,0.0103
7,2028,location,1,r2,0.0606
7,2028,location,2,r2,0.086
7,2028,location,mean,r2,0.0523
8,2028,location,0,r2,0.0081
8,2028,location,1,r2,0.0781
8,2028,location,2,r2,0.0871
8,2028,location,mean,r2,0.0577
9,2028,location,0,r2,0.0086
9,2028,location,1,r2,0.0871
9,2028,location,2,r2,0.0944
9,2028,location,mean,r2,0.0634
10,2028,location,0,r2,0.0076
10,2028,location,1,r2,0.0876
10,2028,location,2,r2,0.1023
10,2028,location,mean,r2,0.0658
