epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.0189
1,2026,radiomics,1,r2,0.0904
1,2026,radiomics,2,r2,0.1331
1,2026,radiomics,mean,r2,0.0808
2,2026,radiomics,0,r2,0.0562
2,2026,radiomics,1,r2,0.0862
2,2026,radiomics,2,r2,0.1202
2,2026,radiomics,mean,r2,0.0876
3,2026,radiomics,0,r2,0.0809
3,2026,radiomics,1,r2,0.1484
3,2026,radiomics,2,r2,0.1636
3,2026,radiomics,mean,r2,0.131
4,2026,radiomics,0,r2,0.0728
4,2026,radiomics,1,r2,0.1661
4,2026,radiomics,2,r2,0.1431
4,2026,radiomics,mean,r2,0.1273
5,2026,radiomics,0,r2,0.1067
5,2026,radiomics,1,r2,0.1838
5,2026,radiomics,2,r2,0.1798
5,2026,radiomics,mean,r2,0.1568
6,2026,radiomics,0,r2,0.1228
6,2026,radiomics,1,r2,0.179
6,2026,radiomics,2,r2,0.1899
6,2026,radiomics,mean,r2,0.1639
7,2026,radiomics,0,r2,0.1262
7,2026,radiomics,1,r2,0.1692
7,2026,radiomics,2,r2,0.1934
7,2026,radiomics,mean,r2,0.1629
8,2026,radiomics,0,r2,0.1371
8,2026,radiomics,1,r2,0.203
8,2026,radiomics,2,r2,0.1965
8,2026,radiomics,mean,r2,0.1788
9,2026,radiomics,0,r2,0.145
9,2026,radiomics,1,r2,0.2241
9,2026,radiomics,2,r2,0.2018
9,2026,radiomics,mean,r2,0.1903
10,2026,radiomics,0,r2,0.1365
10,2026,radiomics,1,r2,0.2277
10,2026,radiomics,2,r2,0.1845
10,2026,radiomics,mean,r2,0.1829
1,2027,radiomics,0,r2,0.0474
1,2027,radiomics,1,r2,0.0965
1,2027,radiomics,2,r2,0.1273
1,2027,radiomics,mean,r2,0.0904
2,2027,radiomics,0,r2,0.0584
2,2027,radiomics,1,r2,0.1257
2,2027,radiomics,2,r2,0.1575
2,2027,radiomics,mean,r2,0.1139
3,2027,radiomics,0,r2,0.0969
3,2027,radiomics,1,r2,0.1502
3,2027,radiomics,2,r2,0.1817
3,2027,radiomics,mean,r2,0.1429
4,2027,radiomics,0,r2,0.108
4,2027,radiomics,1,r2,0.1674
4,2027,radiomics,2,r2,0.1831
4,2027,radiomics,mean,r2,0.1529
5,2027,radiomics,0,r2,0.1328
5,2027,radiomics,1,r2,0.171
5,2027,radiomics,2,r2,0.1901
5,2027,radiomics,mean,r2,0.1647
6,2027,radiomics,0,r2,0.1254
6,2027,radiomics,1,r2,0.1738
6,2027,radiomics,2,r2,0.2023
6,2027,radiomics,mean,r2,0.1672
7,2027,radiomics,0,r2,0.1458
7,2027,radiomics,1,r2,0.2088
7,2027,radiomics,2,r2,0.2021
7,2027,radiomics,mean,r2,0.1856
8,2027,radiomics,0,r2,0.1417
8,2027,radiomics,1,r2,0.2064
8,2027,radiomics,2,r2,0.198
8,2027,radiomics,mean,r2,0.1821
9,2027,radiomics,0,r2,0.1404
9,2027,radiomics,1,r2,0.204
9,2027,radiomics,2,r2,0.1953
9,2027,radiomics,mean,r2,0.1799
10,2027,radiomics,0,r2,0.1371
10,2027,radiomics,1,r2,0.1913
10,2027,radiomics,2,r2,0.1481
10,2027,radiomics,mean,r2,0.1589
1,2028,radiomics,0,r2,0.0494
1,2028,radiomics,1,r2,0.0958
1,2028,radiomics,2,r2,0.1325
1,2028,radiomics,mean,r2,0.0925
2,2028,radiomics,0,r2,0.0845
2,2028,radiomics,1,r2,0.112
2,2028,radiomics,2,r2,0.1656
2,2028,radiomics,mean,r2,0.1207
3,2028,radiomics,0,r2,0.086
3,2028,radiomics,1,r2,0.1491
3,2028,radiomics,2,r2,0.1688
3,2028,radiomics,mean,r2,0.1346
4,2028,radiomics,0,r2,0.0993
4,2028,radiomics,1,r2,0.1685
4,2028,radiomics,2,r2,0.1798
4,2028,radiomics,mean,r2,0.1492
5,2028,radiomics,0,r2,0.1289
5,2028,radiomics,1,r2,0.1651
5,2028,radiomics,2,r2,0.1905
5,2028,radiomics,mean,r2,0.1615
6,2028,radiomics,0,r2,0.1131
6,2028,radiomics,1,r2,0.2046
6,2028,radiomics,2,r2,0.1759
6,2028,radiomics,mean,r2,0.1645
7,2028,radiomics,0,r2,0.1353
7,2028,radiomics,1,r2,0.1988
7,2028,radiomics,2,r2,0.1869
7,2028,radiomics,mean,r2,0.1737
8,2028,radiomics,0,r2,0.1482
8,2028,radiomics,1,r2,0.1848
8,2028,radiomics,2,r2,0.2
8,2028,radiomics,mean,r2,0.1777
9,2028,radiomics,0,r2,0.116
9,2028,radiomics,1,r2,0.2096
9,2028,radiomics,2,r2,0.1877
9,2028,radiomics,mean,r2,0.1711
10,2028,radiomics,0,r2,0.1332
10,2028,radiomics,1,r2,0.2204
10,2028,radiomics,2,r2,0.1945
10,2028,radiomics,mean,r2,0.1827
