epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.5563
1,2026,disease,Arterial wall calcification,auroc,0.6447
1,2026,disease,Cardiomegaly,auroc,0.6
1,2026,disease,Pericardial effusion,auroc,0.5964
1,2026,disease,Coronary artery wall calcification,auroc,0.6397
1,2026,disease,Hiatal hernia,auroc,0.5715
1,2026,disease,Lymphadenopathy,auroc,0.5663
1,2026,disease,Emphysema,auroc,0.5726
1,2026,disease,Atelectasis,auroc,0.5613
1,2026,disease,Lung nodule,auroc,0.5741
1,2026,disease,Lung opacity,auroc,0.4931
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.569
1,2026,disease,Pleural effusion,auroc,0.5558
1,2026,disease,Mosaic attenuation pattern,auroc,0.6096
1,2026,disease,Peribronchial thickening,auroc,0.6268
1,2026,disease,Consolidation,auroc,0.518
1,2026,disease,Bronchiectasis,auroc,0.5463
1,2026,disease,Interlobular septal thickening,auroc,0.5495
1,2026,disease,macro,auroc,0.5751
1,2026,disease,micro,auroc,0.5854
2,2026,disease,Medical material,auroc,0.58
2,2026,disease,Arterial wall calcification,auroc,0.6645
2,2026,disease,Cardiomegaly,auroc,0.6171
2,2026,disease,Pericardial effusion,auroc,0.6322
2,2026,disease,Coronary artery wall calcification,auroc,0.6621
2,2026,disease,Hiatal hernia,auroc,0.5995
2,2026,disease,Lymphadenopathy,auroc,0.5894
2,2026,disease,Emphysema,auroc,0.5916
2,2026,disease,Atelectasis,auroc,0.5765
2,2026,disease,Lung nodule,auroc,0.5812
2,2026,disease,Lung opacity,auroc,0.5029
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.5776
2,2026,disease,Pleural effusion,auroc,0.5966
2,2026,disease,Mosaic attenuation pattern,auroc,0.6201
2,2026,disease,Peribronchial thickening,auroc,0.6481
2,2026,disease,Consolidation,auroc,0.5316
2,2026,disease,Bronchiectasis,auroc,0.5562
2,2026,disease,Interlobular septal thickening,auroc,0.5768
2,2026,disease,macro,auroc,0.5947
2,2026,disease,micro,auroc,0.5984
3,2026,disease,Medical material,auroc,0.5786
3,2026,disease,Arterial wall calcification,auroc,0.6802
3,2026,disease,Cardiomegaly,auroc,0.6336
3,2026,disease,Pericardial effusion,auroc,0.6362
3,2026,disease,Coronary artery wall calcification,auroc,0.6732
3,2026,disease,Hiatal hernia,auroc,0.6111
3,2026,disease,Lymphadenopathy,auroc,0.5942
3,2026,disease,Emphysema,auroc,0.5918
3,2026,disease,Atelectasis,auroc,0.5823
3,2026,disease,Lung nodule,auroc,0.5786
3,2026,disease,Lung opacity,auroc,0.5119
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.5769
3,2026,disease,Pleural effusion,auroc,0.6137
3,2026,disease,Mosaic attenuation pattern,auroc,0.6344
3,2026,disease,Peribronchial thickening,auroc,0.6566
3,2026,disease,Consolidation,auroc,0.5407
3,2026,disease,Bronchiectasis,auroc,0.5588
3,2026,disease,Interlobular septal thickening,auroc,0.5804
3,2026,disease,macro,auroc,0.6018
3,2026,disease,micro,auroc,0.6124
4,2026,disease,Medical material,auroc,0.6023
4,2026,disease,Arterial wall calcification,auroc,0.6836
4,2026,disease,Cardiomegaly,auroc,0.6538
4,2026,disease,Pericardial effusion,auroc,0.6605
4,2026,disease,Coronary artery wall calcification,auroc,0.6778
4,2026,disease,Hiatal hernia,auroc,0.6173
4,2026,disease,Lymphadenopathy,auroc,0.5878
4,2026,disease,Emphysema,auroc,0.5828
4,2026,disease,Atelectasis,auroc,0.5811
4,2026,disease,Lung nodule,auroc,0.5816
4,2026,disease,Lung opacity,auroc,0.5181
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.5747
4,2026,disease,Pleural effusion,auroc,0.6178
4,2026,disease,Mosaic attenuation pattern,auroc,0.6457
4,2026,disease,Peribronchial thickening,auroc,0.6659
4,2026,disease,Consolidation,auroc,0.5438
4,2026,disease,Bronchiectasis,auroc,0.5699
4,2026,disease,Interlobular septal thickening,auroc,0.5925
4,2026,disease,macro,auroc,0.6087
4,2026,disease,micro,auroc,0.6121
5,2026,disease,Medical material,auroc,0.5989
5,2026,disease,Arterial wall calcification,auroc,0.6887
5,2026,disease,Cardiomegaly,auroc,0.6676
5,2026,disease,Pericardial effusion,auroc,0.6543
5,2026,disease,Coronary artery wall calcification,auroc,0.6821
5,2026,disease,Hiatal hernia,auroc,0.6153
5,2026,disease,Lymphadenopathy,auroc,0.5967
5,2026,disease,Emphysema,auroc,0.591
5,2026,disease,Atelectasis,auroc,0.5922
5,2026,disease,Lung nodule,auroc,0.5806
5,2026,disease,Lung opacity,auroc,0.5306
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.5807
5,2026,disease,Pleural effusion,auroc,0.6364
5,2026,disease,Mosaic attenuation pattern,auroc,0.6479
5,2026,disease,Peribronchial thickening,auroc,0.6584
5,2026,disease,Consolidation,auroc,0.5459
5,2026,disease,Bronchiectasis,auroc,0.5762
5,2026,disease,Interlobular septal thickening,auroc,0.6035
5,2026,disease,macro,auroc,0.6137
5,2026,disease,micro,auroc,0.6159
6,2026,disease,Medical material,auroc,0.6015
6,2026,disease,Arterial wall calcification,auroc,0.6931
6,2026,disease,Cardiomegaly,auroc,0.6711
6,2026,disease,Pericardial effusion,auroc,0.6637
6,2026,disease,Coronary artery wall calcification,auroc,0.6869
6,2026,disease,Hiatal hernia,auroc,0.6245
6,2026,disease,Lymphadenopathy,auroc,0.5914
6,2026,disease,Emphysema,auroc,0.5845
6,2026,disease,Atelectasis,auroc,0.5938
6,2026,disease,Lung nodule,auroc,0.5839
6,2026,disease,Lung opacity,auroc,0.5221
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.5746
6,2026,disease,Pleural effusion,auroc,0.6453
6,2026,disease,Mosaic attenuation pattern,auroc,0.6528
6,2026,disease,Peribronchial thickening,auroc,0.6632
6,2026,disease,Consolidation,auroc,0.5469
6,2026,disease,Bronchiectasis,auroc,0.5774
6,2026,disease,Interlobular septal thickening,auroc,0.597
6,2026,disease,macro,auroc,0.6152
6,2026,disease,micro,auroc,0.6185
7,2026,disease,Medical material,auroc,0.6234
7,2026,disease,Arterial wall calcification,auroc,0.6968
7,2026,disease,Cardiomegaly,auroc,0.6777
7,2026,disease,Pericardial effusion,auroc,0.6676
7,2026,disease,Coronary artery wall calcification,auroc,0.6898
7,2026,disease,Hiatal hernia,auroc,0.6238
7,2026,disease,Lymphadenopathy,auroc,0.5973
7,2026,disease,Emphysema,auroc,0.5979
7,2026,disease,Atelectasis,auroc,0.5998
7,2026,disease,Lung nodule,auroc,0.5805
7,2026,disease,Lung opacity,auroc,0.5262
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.5784
7,2026,disease,Pleural effusion,auroc,0.649
7,2026,disease,Mosaic attenuation pattern,auroc,0.6515
7,2026,disease,Peribronchial thickening,auroc,0.6692
7,2026,disease,Consolidation,auroc,0.5537
7,2026,disease,Bronchiectasis,auroc,0.5701
7,2026,disease,Interlobular septal thickening,auroc,0.6031
7,2026,disease,macro,auroc,0.6198
7,2026,disease,micro,auroc,0.6365
8,2026,disease,Medical material,auroc,0.6161
8,2026,disease,Arterial wall calcification,auroc,0.6979
8,2026,disease,Cardiomegaly,auroc,0.6716
8,2026,disease,Pericardial effusion,auroc,0.6628
8,2026,disease,Coronary artery wall calcification,auroc,0.6884
8,2026,disease,Hiatal hernia,auroc,0.6218
8,2026,disease,Lymphadenopathy,auroc,0.5969
8,2026,disease,Emphysema,auroc,0.5937
8,2026,disease,Atelectasis,auroc,0.5986
8,2026,disease,Lung nodule,auroc,0.5851
8,2026,disease,Lung opacity,auroc,0.5246
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.5812
8,2026,disease,Pleural effusion,auroc,0.6545
8,2026,disease,Mosaic attenuation pattern,auroc,0.6422
8,2026,disease,Peribronchial thickening,auroc,0.6672
8,2026,disease,Consolidation,auroc,0.553
8,2026,disease,Bronchiectasis,auroc,0.5875
8,2026,disease,Interlobular septal thickening,auroc,0.5994
8,2026,disease,macro,auroc,0.619
8,2026,disease,micro,auroc,0.6137
9,2026,disease,Medical material,auroc,0.634
9,2026,disease,Arterial wall calcification,auroc,0.7048
9,2026,disease,Cardiomegaly,auroc,0.6902
