epoch,seed,family,target,metric,score
1,2026,location,0,r2,0.0953
1,2026,location,1,r2,0.2211
1,2026,location,2,r2,0.1851
1,2026,location,mean,r2,0.1672
2,2026,location,0,r2,0.0963
2,2026,location,1,r2,0.1564
2,2026,location,2,r2,0.2581
2,2026,location,mean,r2,0.1702
3,2026,location,0,r2,0.1548
3,2026,location,1,r2,0.3417
3,2026,location,2,r2,0.281
3,2026,location,mean,r2,0.2592
4,2026,location,0,r2,0.1638
4,2026,location,1,r2,0.4021
4,2026,location,2,r2,0.3165
4,2026,location,mean,r2,0.2941
5,2026,location,0,r2,0.1745
5,2026,location,1,r2,0.4201
5,2026,location,2,r2,0.3766
5,2026,location,mean,r2,0.3237
6,2026,location,0,r2,0.1725
6,2026,location,1,r2,0.4185
6,2026,location,2,r2,0.4095
6,2026,location,mean,r2,0.3335
7,2026,location,0,r2,0.1785
7,2026,location,1,r2,0.4229
7,2026,location,2,r2,0.3328
7,2026,location,mean,r2,0.3114
8,2026,location,0,r2,0.2163
8,2026,location,1,r2,0.4223
8,2026,location,2,r2,0.4061
8,2026,location,mean,r2,0.3483
9,2026,location,0,r2,0.2256
9,2026,location,1,r2,0.4482
9,2026,location,2,r2,0.428
9,2026,location,mean,r2,0.3672
10,2026,location,0,r2,0.2232
10,2026,location,1,r2,0.454
10,2026,location,2,r2,0.394
10,2026,location,mean,r2,0.357
1,2027,location,0,r2,0.0971
1,2027,location,1,r2,0.2051
1,2027,location,2,r2,0.2066
1,2027,location,mean,r2,0.1696
2,2027,location,0,r2,0.1271
2,2027,location,1,r2,0.2862
2,2027,location,2,r2,0.2628
2,2027,location,mean,r2,0.2254
3,2027,location,0,r2,0.1494
3,2027,location,1,r2,0.2397
3,2027,location,2,r2,0.2879
3,2027,location,mean,r2,0.2256
4,2027,location,0,r2,0.1676
4,2027,location,1,r2,0.3677
4,2027,location,2,r2,0.3114
4,2027,location,mean,r2,0.2822
5,2027,location,0,r2,0.1824
5,2027,location,1,r2,0.3998
5,2027,location,2,r2,0.3325
5,2027,location,mean,r2,0.3049
6,2027,location,0,r2,0.1938
6,2027,location,1,r2,0.4275
6,2027,location,2,r2,0.3478
6,2027,location,mean,r2,0.323
7,2027,location,0,r2,0.1889
7,2027,location,1,r2,0.4073
7,2027,location,2,r2,0.3725
7,2027,location,mean,r2,0.3229
8,2027,location,0,r2,0.2035
8,2027,location,1,r2,0.453
8,2027,location,2,r2,0.4033
8,2027,location,mean,r2,0.3533
9,2027,location,0,r2,0.2158
9,2027,location,1,r2,0.469
9,2027,location,2,r2,0.41
9,2027,location,mean,r2,0.3649
10,2027,location,0,r2,0.2226
10,2027,location,1,r2,0.4385
10,2027,location,2,r2,0.3937
10,2027,location,mean,r2,0.3516
1,2028,location,0,r2,0.0985
1,2028,location,1,r2,0.2282
1,2028,location,2,r2,0.1742
1,2028,location,mean,r2,0.1669
2,2028,location,0,r2,0.0984
2,2028,location,1,r2,0.3078
2,2028,location,2,r2,0.2371
2,2028,location,mean,r2,0.2145
3,2028,location,0,r2,0.1443
3,2028,location,1,r2,0.3163
3,2028,location,2,r2,0.2667
3,2028,location,mean,r2,0.2424
4,2028,location,0,r2,0.16
4,2028,location,1,r2,0.3547
4,2028,location,2,r2,0.2953
4,2028,location,mean,r2,0.27
5,2028,location,0,r2,0.1583
5,2028,location,1,r2,0.363
5,2028,location,2,r2,0.3546
5,2028,location,mean,r2,0.292
6,2028,location,0,r2,0.1723
6,2028,location,1,r2,0.3368
6,2028,location,2,r2,0.3646
6,2028,location,mean,r2,0.2912
7,2028,location,0,r2,0.1811
7,2028,location,1,r2,0.3819
7,2028,location,2,r2,0.396
7,2028,location,mean,r2,0.3197
8,2028,location,0,r2,0.1927
8,2028,location,1,r2,0.3478
8,2028,location,2,r2,0.4041
8,2028,location,mean,r2,0.3149
9,2028,location,0,r2,0.1994
9,2028,location,1,r2,0.4282
9,2028,location,2,r2,0.4178
9,2028,location,mean,r2,0.3485
10,2028,location,0,r2,0.2096
10,2028,location,1,r2,0.4408
10,2028,location,2,r2,0.4207
10,2028,location,mean,r2,0.357
