epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.1817
1,2026,radiomics,1,r2,0.087
1,2026,radiomics,2,r2,0.2454
1,2026,radiomics,mean,r2,0.1714
2,2026,radiomics,0,r2,0.2222
2,2026,radiomics,1,r2,0.1038
2,2026,radiomics,2,r2,0.2869
2,2026,radiomics,mean,r2,0.2043
3,2026,radiomics,0,r2,0.2705
3,2026,radiomics,1,r2,0.1596
3,2026,radiomics,2,r2,0.32
3,2026,radiomics,mean,r2,0.25
4,2026,radiomics,0,r2,0.2903
4,2026,radiomics,1,r2,0.192
4,2026,radiomics,2,r2,0.3377
4,2026,radiomics,mean,r2,0.2733
5,2026,radiomics,0,r2,0.3042
5,2026,radiomics,1,r2,0.2695
5,2026,radiomics,2,r2,0.3298
5,2026,radiomics,mean,r2,0.3012
6,2026,radiomics,0,r2,0.3139
6,2026,radiomics,1,r2,0.3319
6,2026,radiomics,2,r2,0.3463
6,2026,radiomics,mean,r2,0.3307
7,2026,radiomics,0,r2,0.2984
7,2026,radiomics,1,r2,0.3492
7,2026,radiomics,2,r2,0.3523
7,2026,radiomics,mean,r2,0.3333
8,2026,radiomics,0,r2,0.3337
8,2026,radiomics,1,r2,0.3678
8,2026,radiomics,2,r2,0.361
8,2026,radiomics,mean,r2,0.3542
9,2026,radiomics,0,r2,0.325
9,2026,radiomics,1,r2,0.3765
9,2026,radiomics,2,r2,0.365
9,2026,radiomics,mean,r2,0.3555
10,2026,radiomics,0,r2,0.3427
10,2026,radiomics,1,r2,0.4004
10,2026,radiomics,2,r2,0.3466
10,2026,radiomics,mean,r2,0.3632
1,2027,radiomics,0,r2,0.173
1,2027,radiomics,1,r2,0.1005
1,2027,radiomics,2,r2,0.2167
1,2027,radiomics,mean,r2,0.1634
2,2027,radiomics,0,r2,0.2581
2,2027,radiomics,1,r2,0.1427
2,2027,radiomics,2,r2,0.3026
2,2027,radiomics,mean,r2,0.2345
3,2027,radiomics,0,r2,0.2883
3,2027,radiomics,1,r2,0.1896
3,2027,radiomics,2,r2,0.3281
3,2027,radiomics,mean,r2,0.2687
4,2027,radiomics,0,r2,0.2893
4,2027,radiomics,1,r2,0.1927
4,2027,radiomics,2,r2,0.3378
4,2027,radiomics,mean,r2,0.2733
5,2027,radiomics,0,r2,0.3117
5,2027,radiomics,1,r2,0.2983
5,2027,radiomics,2,r2,0.3437
5,2027,radiomics,mean,r2,0.3179
6,2027,radiomics,0,r2,0.2937
6,2027,radiomics,1,r2,0.2936
6,2027,radiomics,2,r2,0.2992
6,2027,radiomics,mean,r2,0.2955
7,2027,radiomics,0,r2,0.31
7,2027,radiomics,1,r2,0.2848
7,2027,radiomics,2,r2,0.3327
7,2027,radiomics,mean,r2,0.3092
8,2027,radiomics,0,r2,0.3202
8,2027,radiomics,1,r2,0.3772
8,2027,radiomics,2,r2,0.358
8,2027,radiomics,mean,r2,0.3518
9,2027,radiomics,0,r2,0.329
9,2027,radiomics,1,r2,0.3081
9,2027,radiomics,2,r2,0.3663
9,2027,radiomics,mean,r2,0.3345
10,2027,radiomics,0,r2,0.2949
10,2027,radiomics,1,r2,0.3665
10,2027,radiomics,2,r2,0.3358
10,2027,radiomics,mean,r2,0.3324
1,2028,radiomics,0,r2,0.152
1,2028,radiomics,1,r2,0.0897
1,2028,radiomics,2,r2,0.1934
1,2028,radiomics,mean,r2,0.145
2,2028,radiomics,0,r2,0.237
2,2028,radiomics,1,r2,0.1292
2,2028,radiomics,2,r2,0.2866
2,2028,radiomics,mean,r2,0.2176
3,2028,radiomics,0,r2,0.2828
3,2028,radiomics,1,r2,0.1034
3,2028,radiomics,2,r2,0.2544
3,2028,radiomics,mean,r2,0.2135
4,2028,radiomics,0,r2,0.298
4,2028,radiomics,1,r2,0.203
4,2028,radiomics,2,r2,0.328
4,2028,radiomics,mean,r2,0.2763
5,2028,radiomics,0,r2,0.3071
5,2028,radiomics,1,r2,0.2531
5,2028,radiomics,2,r2,0.3363
5,2028,radiomics,mean,r2,0.2988
6,2028,radiomics,0,r2,0.3239
6,2028,radiomics,1,r2,0.3448
6,2028,radiomics,2,r2,0.3335
6,2028,radiomics,mean,r2,0.3341
7,2028,radiomics,0,r2,0.3271
7,2028,radiomics,1,r2,0.3739
7,2028,radiomics,2,r2,0.3435
7,2028,radiomics,mean,r2,0.3482
8,2028,radiomics,0,r2,0.3476
8,2028,radiomics,1,r2,0.3648
8,2028,radiomics,2,r2,0.3619
8,2028,radiomics,mean,r2,0.3581
9,2028,radiomics,0,r2,0.3658
9,2028,radiomics,1,r2,0.3701
9,2028,radiomics,2,r2,0.358
9,2028,radiomics,mean,r2,0.3647
10,2028,radiomics,0,r2,0.3601
10,2028,radiomics,1,r2,0.393
10,2028,radiomics,2,r2,0.368
10,2028,radiomics,mean,r2,0.3737
