epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.3847
1,2026,density,1,r2,0.1516
1,2026,density,2,r2,0.7987
1,2026,density,3,r2,0.7589
1,2026,density,mean,r2,0.5235
2,2026,density,0,r2,0.3992
2,2026,density,1,r2,0.1631
2,2026,density,2,r2,0.8259
2,2026,density,3,r2,0.7779
2,2026,density,mean,r2,0.5415
3,2026,density,0,r2,0.4269
3,2026,density,1,r2,0.195
3,2026,density,2,r2,0.8318
3,2026,density,3,r2,0.7448
3,2026,density,mean,r2,0.5496
4,2026,density,0,r2,0.4497
4,2026,density,1,r2,0.1857
4,2026,density,2,r2,0.8498
4,2026,density,3,r2,0.7989
4,2026,density,mean,r2,0.571
5,2026,density,0,r2,0.464
5,2026,density,1,r2,0.2292
5,2026,density,2,r2,0.8387
5,2026,density,3,r2,0.797
5,2026,density,mean,r2,0.5822
6,2026,density,0,r2,0.4662
6,2026,density,1,r2,0.2376
6,2026,density,2,r2,0.8529
6,2026,density,3,r2,0.8051
6,2026,density,mean,r2,0.5904
7,2026,density,0,r2,0.4551
7,2026,density,1,r2,0.2481
7,2026,density,2,r2,0.8628
7,2026,density,3,r2,0.8146
7,2026,density,mean,r2,0.5951
8,2026,density,0,r2,0.4872
8,2026,density,1,r2,0.2577
8,2026,density,2,r2,0.8471
8,2026,density,3,r2,0.7993
8,2026,density,mean,r2,0.5978
9,2026,density,0,r2,0.4669
9,2026,density,1,r2,0.2761
9,2026,density,2,r2,0.8465
9,2026,density,3,r2,0.8142
9,2026,density,mean,r2,0.6009
10,2026,density,0,r2,0.3898
10,2026,density,1,r2,0.2134
10,2026,density,2,r2,0.8738
10,2026,density,3,r2,0.8055
10,2026,density,mean,r2,0.5706
1,2027,density,0,r2,0.3643
1,2027,density,1,r2,0.1512
1,2027,density,2,r2,0.7971
1,2027,density,3,r2,0.7313
1,2027,density,mean,r2,0.511
2,2027,density,0,r2,0.3702
2,2027,density,1,r2,0.1835
2,2027,density,2,r2,0.8162
2,2027,density,3,r2,0.7598
2,2027,density,mean,r2,0.5324
3,2027,density,0,r2,0.4166
3,2027,density,1,r2,0.2179
3,2027,density,2,r2,0.7885
3,2027,density,3,r2,0.7127
3,2027,density,mean,r2,0.5339
4,2027,density,0,r2,0.4285
4,2027,density,1,r2,0.2232
4,2027,density,2,r2,0.8502
4,2027,density,3,r2,0.8059
4,2027,density,mean,r2,0.577
5,2027,density,0,r2,0.4688
5,2027,density,1,r2,0.1621
5,2027,density,2,r2,0.8626
5,2027,density,3,r2,0.8037
5,2027,density,mean,r2,0.5743
6,2027,density,0,r2,0.4716
6,2027,density,1,r2,0.2501
6,2027,density,2,r2,0.867
6,2027,density,3,r2,0.8152
6,2027,density,mean,r2,0.601
7,2027,density,0,r2,0.4785
7,2027,density,1,r2,0.2532
7,2027,density,2,r2,0.8494
7,2027,density,3,r2,0.8106
7,2027,density,mean,r2,0.5979
8,2027,density,0,r2,0.3693
8,2027,density,1,r2,0.2567
8,2027,density,2,r2,0.8701
8,2027,density,3,r2,0.8215
8,2027,density,mean,r2,0.5794
9,2027,density,0,r2,0.4339
9,2027,density,1,r2,0.2355
9,2027,density,2,r2,0.8697
9,2027,density,3,r2,0.8195
9,2027,density,mean,r2,0.5896
10,2027,density,0,r2,0.4728
10,2027,density,1,r2,0.2609
10,2027,density,2,r2,0.844
10,2027,density,3,r2,0.8042
10,2027,density,mean,r2,0.5955
1,2028,density,0,r2,0.3547
1,2028,density,1,r2,0.1496
1,2028,density,2,r2,0.7879
1,2028,density,3,r2,0.7418
1,2028,density,mean,r2,0.5085
2,2028,density,0,r2,0.3996
2,2028,density,1,r2,0.1452
2,2028,density,2,r2,0.8239
2,2028,density,3,r2,0.7673
2,2028,density,mean,r2,0.534
3,2028,density,0,r2,0.424
3,2028,density,1,r2,0.1609
3,2028,density,2,r2,0.8272
3,2028,density,3,r2,0.7917
3,2028,density,mean,r2,0.5509
4,2028,density,0,r2,0.458
4,2028,density,1,r2,0.2181
4,2028,density,2,r2,0.8464
4,2028,density,3,r2,0.8008
4,2028,density,mean,r2,0.5808
5,2028,density,0,r2,0.4707
5,2028,density,1,r2,0.2172
5,2028,density,2,r2,0.8235
5,2028,density,3,r2,0.8
5,2028,density,mean,r2,0.5779
6,2028,density,0,r2,0.4668
6,2028,density,1,r2,0.1834
6,2028,density,2,r2,0.8329
6,2028,density,3,r2,0.7981
6,2028,density,mean,r2,0.5703
7,2028,density,0,r2,0.4552
7,2028,density,1,r2,0.2427
7,2028,density,2,r2,0.8482
7,2028,density,3,r2,0.8083
7,2028,density,mean,r2,0.5886
8,2028,density,0,r2,0.4312
8,2028,density,1,r2,0.209
8,2028,density,2,r2,0.8487
8,2028,density,3,r2,0.8079
8,2028,density,mean,r2,0.5742
9,2028,density,0,r2,0.4975
9,2028,density,1,r2,0.2631
9,2028,density,2,r2,0.87
9,2028,density,3,r2,0.823
9,2028,density,mean,r2,0.6134
10,2028,density,0,r2,0.4976
10,2028,density,1,r2,0.2593
10,2028,density,2,r2,0.8666
10,2028,density,3,r2,0.8214
10,2028,density,mean,r2,0.6112
