epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.7069
1,2026,disease,Arterial wall calcification,auroc,0.7712
1,2026,disease,Cardiomegaly,auroc,0.8566
1,2026,disease,Pericardial effusion,auroc,0.766
1,2026,disease,Coronary artery wall calcification,auroc,0.7598
1,2026,disease,Hiatal hernia,auroc,0.6771
1,2026,disease,Lymphadenopathy,auroc,0.6752
1,2026,disease,Emphysema,auroc,0.6702
1,2026,disease,Atelectasis,auroc,0.6728
1,2026,disease,Lung nodule,auroc,0.6012
1,2026,disease,Lung opacity,auroc,0.6535
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.6011
1,2026,disease,Pleural effusion,auroc,0.8919
1,2026,disease,Mosaic attenuation pattern,auroc,0.75
1,2026,disease,Peribronchial thickening,auroc,0.6654
1,2026,disease,Consolidation,auroc,0.7128
1,2026,disease,Bronchiectasis,auroc,0.637
1,2026,disease,Interlobular septal thickening,auroc,0.7692
1,2026,disease,macro,auroc,0.7132
1,2026,disease,micro,auroc,0.6911
2,2026,disease,Medical material,auroc,0.7262
2,2026,disease,Arterial wall calcification,auroc,0.8043
2,2026,disease,Cardiomegaly,auroc,0.8812
2,2026,disease,Pericardial effusion,auroc,0.7969
2,2026,disease,Coronary artery wall calcification,auroc,0.7972
2,2026,disease,Hiatal hernia,auroc,0.6898
2,2026,disease,Lymphadenopathy,auroc,0.6831
2,2026,disease,Emphysema,auroc,0.7106
2,2026,disease,Atelectasis,auroc,0.6852
2,2026,disease,Lung nodule,auroc,0.6138
2,2026,disease,Lung opacity,auroc,0.6579
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.6366
2,2026,disease,Pleural effusion,auroc,0.9127
2,2026,disease,Mosaic attenuation pattern,auroc,0.7785
2,2026,disease,Peribronchial thickening,auroc,0.6982
2,2026,disease,Consolidation,auroc,0.7279
2,2026,disease,Bronchiectasis,auroc,0.6592
2,2026,disease,Interlobular septal thickening,auroc,0.7748
2,2026,disease,macro,auroc,0.7352
2,2026,disease,micro,auroc,0.7108
3,2026,disease,Medical material,auroc,0.7321
3,2026,disease,Arterial wall calcification,auroc,0.8163
3,2026,disease,Cardiomegaly,auroc,0.8897
3,2026,disease,Pericardial effusion,auroc,0.8042
3,2026,disease,Coronary artery wall calcification,auroc,0.8073
3,2026,disease,Hiatal hernia,auroc,0.6912
3,2026,disease,Lymphadenopathy,auroc,0.6848
3,2026,disease,Emphysema,auroc,0.7073
3,2026,disease,Atelectasis,auroc,0.686
3,2026,disease,Lung nodule,auroc,0.6162
3,2026,disease,Lung opacity,auroc,0.6652
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.6461
3,2026,disease,Pleural effusion,auroc,0.9178
3,2026,disease,Mosaic attenuation pattern,auroc,0.7878
3,2026,disease,Peribronchial thickening,auroc,0.7098
3,2026,disease,Consolidation,auroc,0.7313
3,2026,disease,Bronchiectasis,auroc,0.6763
3,2026,disease,Interlobular septal thickening,auroc,0.7766
3,2026,disease,macro,auroc,0.7414
3,2026,disease,micro,auroc,0.733
4,2026,disease,Medical material,auroc,0.7326
4,2026,disease,Arterial wall calcification,auroc,0.8265
4,2026,disease,Cardiomegaly,auroc,0.8938
4,2026,disease,Pericardial effusion,auroc,0.8
4,2026,disease,Coronary artery wall calcification,auroc,0.8173
4,2026,disease,Hiatal hernia,auroc,0.7011
4,2026,disease,Lymphadenopathy,auroc,0.6899
4,2026,disease,Emphysema,auroc,0.7282
4,2026,disease,Atelectasis,auroc,0.6873
4,2026,disease,Lung nodule,auroc,0.6249
4,2026,disease,Lung opacity,auroc,0.6694
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.6567
4,2026,disease,Pleural effusion,auroc,0.9196
4,2026,disease,Mosaic attenuation pattern,auroc,0.7916
4,2026,disease,Peribronchial thickening,auroc,0.7198
4,2026,disease,Consolidation,auroc,0.7319
4,2026,disease,Bronchiectasis,auroc,0.6854
4,2026,disease,Interlobular septal thickening,auroc,0.7779
4,2026,disease,macro,auroc,0.7474
4,2026,disease,micro,auroc,0.7486
5,2026,disease,Medical material,auroc,0.7369
5,2026,disease,Arterial wall calcification,auroc,0.8338
5,2026,disease,Cardiomegaly,auroc,0.8995
5,2026,disease,Pericardial effusion,auroc,0.812
5,2026,disease,Coronary artery wall calcification,auroc,0.8252
5,2026,disease,Hiatal hernia,auroc,0.6997
5,2026,disease,Lymphadenopathy,auroc,0.6899
5,2026,disease,Emphysema,auroc,0.7294
5,2026,disease,Atelectasis,auroc,0.6897
5,2026,disease,Lung nodule,auroc,0.6281
5,2026,disease,Lung opacity,auroc,0.6732
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.6575
5,2026,disease,Pleural effusion,auroc,0.9227
5,2026,disease,Mosaic attenuation pattern,auroc,0.7964
5,2026,disease,Peribronchial thickening,auroc,0.7222
5,2026,disease,Consolidation,auroc,0.7329
5,2026,disease,Bronchiectasis,auroc,0.6883
5,2026,disease,Interlobular septal thickening,auroc,0.78
5,2026,disease,macro,auroc,0.751
5,2026,disease,micro,auroc,0.7547
6,2026,disease,Medical material,auroc,0.7345
6,2026,disease,Arterial wall calcification,auroc,0.8332
6,2026,disease,Cardiomegaly,auroc,0.8948
6,2026,disease,Pericardial effusion,auroc,0.8037
6,2026,disease,Coronary artery wall calcification,auroc,0.825
6,2026,disease,Hiatal hernia,auroc,0.7028
6,2026,disease,Lymphadenopathy,auroc,0.6938
6,2026,disease,Emphysema,auroc,0.737
6,2026,disease,Atelectasis,auroc,0.691
6,2026,disease,Lung nodule,auroc,0.6286
6,2026,disease,Lung opacity,auroc,0.6746
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.661
6,2026,disease,Pleural effusion,auroc,0.9193
6,2026,disease,Mosaic attenuation pattern,auroc,0.8033
6,2026,disease,Peribronchial thickening,auroc,0.7303
6,2026,disease,Consolidation,auroc,0.7352
6,2026,disease,Bronchiectasis,auroc,0.6928
6,2026,disease,Interlobular septal thickening,auroc,0.7842
6,2026,disease,macro,auroc,0.7525
6,2026,disease,micro,auroc,0.7519
7,2026,disease,Medical material,auroc,0.7412
7,2026,disease,Arterial wall calcification,auroc,0.8398
7,2026,disease,Cardiomegaly,auroc,0.8998
7,2026,disease,Pericardial effusion,auroc,0.8111
7,2026,disease,Coronary artery wall calcification,auroc,0.8308
7,2026,disease,Hiatal hernia,auroc,0.712
7,2026,disease,Lymphadenopathy,auroc,0.6892
7,2026,disease,Emphysema,auroc,0.7323
7,2026,disease,Atelectasis,auroc,0.6983
7,2026,disease,Lung nodule,auroc,0.6309
7,2026,disease,Lung opacity,auroc,0.6715
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.6685
7,2026,disease,Pleural effusion,auroc,0.9227
7,2026,disease,Mosaic attenuation pattern,auroc,0.7993
7,2026,disease,Peribronchial thickening,auroc,0.7374
7,2026,disease,Consolidation,auroc,0.7374
7,2026,disease,Bronchiectasis,auroc,0.7016
7,2026,disease,Interlobular septal thickening,auroc,0.7821
7,2026,disease,macro,auroc,0.7559
7,2026,disease,micro,auroc,0.7552
8,2026,disease,Medical material,auroc,0.745
8,2026,disease,Arterial wall calcification,auroc,0.838
8,2026,disease,Cardiomegaly,auroc,0.8982
8,2026,disease,Pericardial effusion,auroc,0.8042
8,2026,disease,Coronary artery wall calcification,auroc,0.8288
8,2026,disease,Hiatal hernia,auroc,0.7149
8,2026,disease,Lymphadenopathy,auroc,0.6971
8,2026,disease,Emphysema,auroc,0.7328
8,2026,disease,Atelectasis,auroc,0.6968
8,2026,disease,Lung nodule,auroc,0.6327
8,2026,disease,Lung opacity,auroc,0.6674
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.6627
8,2026,disease,Pleural effusion,auroc,0.9227
8,2026,disease,Mosaic attenuation pattern,auroc,0.8061
8,2026,disease,Peribronchial thickening,auroc,0.7405
8,2026,disease,Consolidation,auroc,0.7352
8,2026,disease,Bronchiectasis,auroc,0.6922
8,2026,disease,Interlobular septal thickening,auroc,0.7807
8,2026,disease,macro,auroc,0.7553
8,2026,disease,micro,auroc,0.7535
9,2026,disease,Medical material,auroc,0.747
9,2026,disease,Arterial wall calcification,auroc,0.844
9,2026,disease,Cardiomegaly,auroc,0.9027
9,2026,disease,Pericardial effusion,auroc,0.8087
9,2026,disease,Coronary artery wall calcification,auroc,0.8353
9,2026,disease,Hiatal hernia,auroc,0.7154
9,2026,disease,Lymphadenopathy,auroc,0.6949
9,2026,disease,Emphysema,auroc,0.7406
9,2026,disease,Atelectasis,auroc,0.6955
9,2026,disease,Lung nodule,auroc,0.629
9,2026,disease,Lung opacity,auroc,0.6764
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.6666
9,2026,disease,Pleural effusion,auroc,0.9223
9,2026,disease,Mosaic attenuation pattern,auroc,0.8004
9,2026,disease,Peribronchial thickening,auroc,0.7419
9,2026,disease,Consolidation,auroc,0.7406
9,2026,disease,Bronchiectasis,auroc,0.7058
9,2026,disease,Interlobular septal thickening,auroc,0.7899
