epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.8341
1,2026,radiomics,1,r2,0.0954
1,2026,radiomics,2,r2,0.67
1,2026,radiomics,mean,r2,0.5332
2,2026,radiomics,0,r2,0.8333
2,2026,radiomics,1,r2,0.0246
2,2026,radiomics,2,r2,0.7089
2,2026,radiomics,mean,r2,0.5222
3,2026,radiomics,0,r2,0.8261
3,2026,radiomics,1,r2,0.1241
3,2026,radiomics,2,r2,0.7109
3,2026,radiomics,mean,r2,0.5537
4,2026,radiomics,0,r2,0.857
4,2026,radiomics,1,r2,0.1244
4,2026,radiomics,2,r2,0.7208
4,2026,radiomics,mean,r2,0.5674
5,2026,radiomics,0,r2,0.864
5,2026,radiomics,1,r2,0.1264
5,2026,radiomics,2,r2,0.7132
5,2026,radiomics,mean,r2,0.5678
6,2026,radiomics,0,r2,0.8678
6,2026,radiomics,1,r2,0.1483
6,2026,radiomics,2,r2,0.7041
6,2026,radiomics,mean,r2,0.5734
7,2026,radiomics,0,r2,0.8709
7,2026,radiomics,1,r2,0.1508
7,2026,radiomics,2,r2,0.6858
7,2026,radiomics,mean,r2,0.5692
8,2026,radiomics,0,r2,0.8535
8,2026,radiomics,1,r2,0.1232
8,2026,radiomics,2,r2,0.7289
8,2026,radiomics,mean,r2,0.5685
9,2026,radiomics,0,r2,0.8646
9,2026,radiomics,1,r2,0.1552
9,2026,radiomics,2,r2,0.7376
9,2026,radiomics,mean,r2,0.5858
10,2026,radiomics,0,r2,0.8599
10,2026,radiomics,1,r2,0.1329
10,2026,radiomics,2,r2,0.7374
10,2026,radiomics,mean,r2,0.5767
1,2027,radiomics,0,r2,0.8182
1,2027,radiomics,1,r2,0.0269
1,2027,radiomics,2,r2,0.6601
1,2027,radiomics,mean,r2,0.5018
2,2027,radiomics,0,r2,0.8414
2,2027,radiomics,1,r2,0.0947
2,2027,radiomics,2,r2,0.7086
2,2027,radiomics,mean,r2,0.5483
3,2027,radiomics,0,r2,0.8567
3,2027,radiomics,1,r2,0.0938
3,2027,radiomics,2,r2,0.7036
3,2027,radiomics,mean,r2,0.5514
4,2027,radiomics,0,r2,0.84
4,2027,radiomics,1,r2,0.1014
4,2027,radiomics,2,r2,0.7001
4,2027,radiomics,mean,r2,0.5472
5,2027,radiomics,0,r2,0.8558
5,2027,radiomics,1,r2,0.1071
5,2027,radiomics,2,r2,0.7331
5,2027,radiomics,mean,r2,0.5653
6,2027,radiomics,0,r2,0.8661
6,2027,radiomics,1,r2,0.0994
6,2027,radiomics,2,r2,0.7321
6,2027,radiomics,mean,r2,0.5658
7,2027,radiomics,0,r2,0.8449
7,2027,radiomics,1,r2,0.1228
7,2027,radiomics,2,r2,0.6855
7,2027,radiomics,mean,r2,0.5511
8,2027,radiomics,0,r2,0.8588
8,2027,radiomics,1,r2,0.0906
8,2027,radiomics,2,r2,0.7442
8,2027,radiomics,mean,r2,0.5645
9,2027,radiomics,0,r2,0.8745
9,2027,radiomics,1,r2,0.1364
9,2027,radiomics,2,r2,0.7117
9,2027,radiomics,mean,r2,0.5742
10,2027,radiomics,0,r2,0.845
10,2027,radiomics,1,r2,0.1373
10,2027,radiomics,2,r2,0.6885
10,2027,radiomics,mean,r2,0.5569
1,2028,radiomics,0,r2,0.8007
1,2028,radiomics,1,r2,0.0793
1,2028,radiomics,2,r2,0.6635
1,2028,radiomics,mean,r2,0.5145
2,2028,radiomics,0,r2,0.8243
2,2028,radiomics,1,r2,0.1076
2,2028,radiomics,2,r2,0.6977
2,2028,radiomics,mean,r2,0.5432
3,2028,radiomics,0,r2,0.8515
3,2028,radiomics,1,r2,0.1096
3,2028,radiomics,2,r2,0.6954
3,2028,radiomics,mean,r2,0.5522
4,2028,radiomics,0,r2,0.8591
4,2028,radiomics,1,r2,0.123
4,2028,radiomics,2,r2,0.7271
4,2028,radiomics,mean,r2,0.5697
5,2028,radiomics,0,r2,0.8534
5,2028,radiomics,1,r2,0.1353
5,2028,radiomics,2,r2,0.7286
5,2028,radiomics,mean,r2,0.5724
6,2028,radiomics,0,r2,0.8567
6,2028,radiomics,1,r2,0.1413
6,2028,radiomics,2,r2,0.7239
6,2028,radiomics,mean,r2,0.574
7,2028,radiomics,0,r2,0.8674
7,2028,radiomics,1,r2,0.1416
7,2028,radiomics,2,r2,0.7183
7,2028,radiomics,mean,r2,0.5758
8,2028,radiomics,0,r2,0.8765
8,2028,radiomics,1,r2,0.1539
8,2028,radiomics,2,r2,0.7281
8,2028,radiomics,mean,r2,0.5861
9,2028,radiomics,0,r2,0.8701
9,2028,radiomics,1,r2,0.139
9,2028,radiomics,2,r2,0.7478
9,2028,radiomics,mean,r2,0.5856
10,2028,radiomics,0,r2,0.8734
10,2028,radiomics,1,r2,0.0861
10,2028,radiomics,2,r2,0.7464
10,2028,radiomics,mean,r2,0.5687
