epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.6067
1,2026,disease,Arterial wall calcification,auroc,0.6456
1,2026,disease,Cardiomegaly,auroc,0.682
1,2026,disease,Pericardial effusion,auroc,0.6322
1,2026,disease,Coronary artery wall calcification,auroc,0.6372
1,2026,disease,Hiatal hernia,auroc,0.5586
1,2026,disease,Lymphadenopathy,auroc,0.5512
1,2026,disease,Emphysema,auroc,0.5824
1,2026,disease,Atelectasis,auroc,0.574
1,2026,disease,Lung nodule,auroc,0.5558
1,2026,disease,Lung opacity,auroc,0.5178
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.5246
1,2026,disease,Pleural effusion,auroc,0.6272
1,2026,disease,Mosaic attenuation pattern,auroc,0.6308
1,2026,disease,Peribronchial thickening,auroc,0.6623
1,2026,disease,Consolidation,auroc,0.5499
1,2026,disease,Bronchiectasis,auroc,0.5854
1,2026,disease,Interlobular septal thickening,auroc,0.5619
1,2026,disease,macro,auroc,0.5936
1,2026,disease,micro,auroc,0.6059
2,2026,disease,Medical material,auroc,0.6276
2,2026,disease,Arterial wall calcification,auroc,0.7077
2,2026,disease,Cardiomegaly,auroc,0.7182
2,2026,disease,Pericardial effusion,auroc,0.6705
2,2026,disease,Coronary artery wall calcification,auroc,0.705
2,2026,disease,Hiatal hernia,auroc,0.591
2,2026,disease,Lymphadenopathy,auroc,0.5977
2,2026,disease,Emphysema,auroc,0.6312
2,2026,disease,Atelectasis,auroc,0.6072
2,2026,disease,Lung nodule,auroc,0.5676
2,2026,disease,Lung opacity,auroc,0.5479
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.5627
2,2026,disease,Pleural effusion,auroc,0.7024
2,2026,disease,Mosaic attenuation pattern,auroc,0.6629
2,2026,disease,Peribronchial thickening,auroc,0.6875
2,2026,disease,Consolidation,auroc,0.5854
2,2026,disease,Bronchiectasis,auroc,0.6121
2,2026,disease,Interlobular septal thickening,auroc,0.6221
2,2026,disease,macro,auroc,0.6337
2,2026,disease,micro,auroc,0.6499
3,2026,disease,Medical material,auroc,0.6481
3,2026,disease,Arterial wall calcification,auroc,0.7325
3,2026,disease,Cardiomegaly,auroc,0.7716
3,2026,disease,Pericardial effusion,auroc,0.6918
3,2026,disease,Coronary artery wall calcification,auroc,0.7305
3,2026,disease,Hiatal hernia,auroc,0.615
3,2026,disease,Lymphadenopathy,auroc,0.6191
3,2026,disease,Emphysema,auroc,0.6439
3,2026,disease,Atelectasis,auroc,0.6189
3,2026,disease,Lung nodule,auroc,0.579
3,2026,disease,Lung opacity,auroc,0.5651
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.5734
3,2026,disease,Pleural effusion,auroc,0.7468
3,2026,disease,Mosaic attenuation pattern,auroc,0.7062
3,2026,disease,Peribronchial thickening,auroc,0.6995
3,2026,disease,Consolidation,auroc,0.6142
3,2026,disease,Bronchiectasis,auroc,0.629
3,2026,disease,Interlobular septal thickening,auroc,0.6584
3,2026,disease,macro,auroc,0.6579
3,2026,disease,micro,auroc,0.6656
4,2026,disease,Medical material,auroc,0.7015
4,2026,disease,Arterial wall calcification,auroc,0.7472
4,2026,disease,Cardiomegaly,auroc,0.8239
4,2026,disease,Pericardial effusion,auroc,0.701
4,2026,disease,Coronary artery wall calcification,auroc,0.7477
4,2026,disease,Hiatal hernia,auroc,0.6353
4,2026,disease,Lymphadenopathy,auroc,0.6307
4,2026,disease,Emphysema,auroc,0.6505
4,2026,disease,Atelectasis,auroc,0.6291
4,2026,disease,Lung nodule,auroc,0.5893
4,2026,disease,Lung opacity,auroc,0.5726
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.5912
4,2026,disease,Pleural effusion,auroc,0.7617
4,2026,disease,Mosaic attenuation pattern,auroc,0.7436
4,2026,disease,Peribronchial thickening,auroc,0.7084
4,2026,disease,Consolidation,auroc,0.6233
4,2026,disease,Bronchiectasis,auroc,0.6495
4,2026,disease,Interlobular septal thickening,auroc,0.6784
4,2026,disease,macro,auroc,0.6769
4,2026,disease,micro,auroc,0.6612
5,2026,disease,Medical material,auroc,0.7203
5,2026,disease,Arterial wall calcification,auroc,0.7571
5,2026,disease,Cardiomegaly,auroc,0.8359
5,2026,disease,Pericardial effusion,auroc,0.7112
5,2026,disease,Coronary artery wall calcification,auroc,0.7582
5,2026,disease,Hiatal hernia,auroc,0.6485
5,2026,disease,Lymphadenopathy,auroc,0.6343
5,2026,disease,Emphysema,auroc,0.6523
5,2026,disease,Atelectasis,auroc,0.6359
