epoch,seed,family,target,metric,score
1,2026,radiomics,0,r2,0.3801
1,2026,radiomics,1,r2,0.0455
1,2026,radiomics,2,r2,0.3632
1,2026,radiomics,mean,r2,0.263
2,2026,radiomics,0,r2,0.4525
2,2026,radiomics,1,r2,0.0706
2,2026,radiomics,2,r2,0.4248
2,2026,radiomics,mean,r2,0.316
3,2026,radiomics,0,r2,0.5014
3,2026,radiomics,1,r2,0.1112
3,2026,radiomics,2,r2,0.4531
3,2026,radiomics,mean,r2,0.3552
4,2026,radiomics,0,r2,0.5145
4,2026,radiomics,1,r2,0.1434
4,2026,radiomics,2,r2,0.4749
4,2026,radiomics,mean,r2,0.3776
5,2026,radiomics,0,r2,0.5284
5,2026,radiomics,1,r2,0.0917
5,2026,radiomics,2,r2,0.489
5,2026,radiomics,mean,r2,0.3697
6,2026,radiomics,0,r2,0.5301
6,2026,radiomics,1,r2,0.1632
6,2026,radiomics,2,r2,0.5021
6,2026,radiomics,mean,r2,0.3984
7,2026,radiomics,0,r2,0.5425
7,2026,radiomics,1,r2,0.1736
7,2026,radiomics,2,r2,0.5047
7,2026,radiomics,mean,r2,0.4069
8,2026,radiomics,0,r2,0.5015
8,2026,radiomics,1,r2,0.1741
8,2026,radiomics,2,r2,0.4782
8,2026,radiomics,mean,r2,0.3846
9,2026,radiomics,0,r2,0.537
9,2026,radiomics,1,r2,0.1683
9,2026,radiomics,2,r2,0.484
9,2026,radiomics,mean,r2,0.3964
10,2026,radiomics,0,r2,0.5613
10,2026,radiomics,1,r2,0.2195
10,2026,radiomics,2,r2,0.4991
10,2026,radiomics,mean,r2,0.4266
1,2027,radiomics,0,r2,0.3405
1,2027,radiomics,1,r2,0.0581
1,2027,radiomics,2,r2,0.3244
1,2027,radiomics,mean,r2,0.241
2,2027,radiomics,0,r2,0.4538
2,2027,radiomics,1,r2,0.1084
2,2027,radiomics,2,r2,0.433
2,2027,radiomics,mean,r2,0.3317
3,2027,radiomics,0,r2,0.5052
3,2027,radiomics,1,r2,0.1206
3,2027,radiomics,2,r2,0.4517
3,2027,radiomics,mean,r2,0.3592
4,2027,radiomics,0,r2,0.4779
4,2027,radiomics,1,r2,0.1155
4,2027,radiomics,2,r2,0.4339
4,2027,radiomics,mean,r2,0.3424
5,2027,radiomics,0,r2,0.5292
5,2027,radiomics,1,r2,0.1416
5,2027,radiomics,2,r2,0.4894
5,2027,radiomics,mean,r2,0.3867
6,2027,radiomics,0,r2,0.5357
6,2027,radiomics,1,r2,0.159
6,2027,radiomics,2,r2,0.4881
6,2027,radiomics,mean,r2,0.3943
7,2027,radiomics,0,r2,0.5493
7,2027,radiomics,1,r2,0.1842
7,2027,radiomics,2,r2,0.4972
7,2027,radiomics,mean,r2,0.4102
8,2027,radiomics,0,r2,0.5495
8,2027,radiomics,1,r2,0.186
8,2027,radiomics,2,r2,0.5056
8,2027,radiomics,mean,r2,0.4137
9,2027,radiomics,0,r2,0.5366
9,2027,radiomics,1,r2,0.1999
9,2027,radiomics,2,r2,0.5058
9,2027,radiomics,mean,r2,0.4141
10,2027,radiomics,0,r2,0.5592
10,2027,radiomics,1,r2,0.2036
10,2027,radiomics,2,r2,0.5143
10,2027,radiomics,mean,r2,0.4257
1,2028,radiomics,0,r2,0.3613
1,2028,radiomics,1,r2,0.0737
1,2028,radiomics,2,r2,0.3739
1,2028,radiomics,mean,r2,0.2696
2,2028,radiomics,0,r2,0.4241
2,2028,radiomics,1,r2,0.1131
2,2028,radiomics,2,r2,0.3984
2,2028,radiomics,mean,r2,0.3119
3,2028,radiomics,0,r2,0.4511
3,2028,radiomics,1,r2,0.0731
3,2028,radiomics,2,r2,0.3712
3,2028,radiomics,mean,r2,0.2985
4,2028,radiomics,0,r2,0.4941
4,2028,radiomics,1,r2,0.1171
4,2028,radiomics,2,r2,0.4571
4,2028,radiomics,mean,r2,0.3561
5,2028,radiomics,0,r2,0.4985
5,2028,radiomics,1,r2,0.1497
5,2028,radiomics,2,r2,0.4505
5,2028,radiomics,mean,r2,0.3662
6,2028,radiomics,0,r2,0.4939
6,2028,radiomics,1,r2,0.1654
6,2028,radiomics,2,r2,0.4557
6,2028,radiomics,mean,r2,0.3717
7,2028,radiomics,0,r2,0.5428
7,2028,radiomics,1,r2,0.1646
7,2028,radiomics,2,r2,0.4976
7,2028,radiomics,mean,r2,0.4017
8,2028,radiomics,0,r2,0.5594
8,2028,radiomics,1,r2,0.1795
8,2028,radiomics,2,r2,0.5086
8,2028,radiomics,mean,r2,0.4159
9,2028,radiomics,0,r2,0.5622
9,2028,radiomics,1,r2,0.2093
9,2028,radiomics,2,r2,0.5077
9,2028,radiomics,mean,r2,0.4264
10,2028,radiomics,0,r2,0.5626
10,2028,radiomics,1,r2,0.2004
10,2028,radiomics,2,r2,0.513
10,2028,radiomics,mean,r2,0.4253
