epoch,seed,family,target,metric,score
1,2026,size,0,r2,0.5064
1,2026,size,1,r2,0.1419
1,2026,size,2,r2,0.2674
1,2026,size,3,r2,0.354
1,2026,size,4,r2,0.3591
1,2026,size,mean,r2,0.3258
2,2026,size,0,r2,0.5892
2,2026,size,1,r2,0.1635
2,2026,size,2,r2,0.3037
2,2026,size,3,r2,0.4198
2,2026,size,4,r2,0.4903
2,2026,size,mean,r2,0.3933
3,2026,size,0,r2,0.6097
3,2026,size,1,r2,0.1697
3,2026,size,2,r2,0.3225
3,2026,size,3,r2,0.4498
3,2026,size,4,r2,0.5024
3,2026,size,mean,r2,0.4108
4,2026,size,0,r2,0.599
4,2026,size,1,r2,0.1975
4,2026,size,2,r2,0.3238
4,2026,size,3,r2,0.4509
4,2026,size,4,r2,0.516
4,2026,size,mean,r2,0.4175
5,2026,size,0,r2,0.6368
5,2026,size,1,r2,0.2157
5,2026,size,2,r2,0.3466
5,2026,size,3,r2,0.4477
5,2026,size,4,r2,0.5147
5,2026,size,mean,r2,0.4323
6,2026,size,0,r2,0.6411
6,2026,size,1,r2,0.2377
6,2026,size,2,r2,0.3712
6,2026,size,3,r2,0.4799
6,2026,size,4,r2,0.5438
6,2026,size,mean,r2,0.4547
7,2026,size,0,r2,0.6564
7,2026,size,1,r2,0.2348
7,2026,size,2,r2,0.3803
7,2026,size,3,r2,0.4701
7,2026,size,4,r2,0.5432
7,2026,size,mean,r2,0.457
8,2026,size,0,r2,0.6645
8,2026,size,1,r2,0.2553
8,2026,size,2,r2,0.3835
8,2026,size,3,r2,0.5016
8,2026,size,4,r2,0.5615
8,2026,size,mean,r2,0.4733
9,2026,size,0,r2,0.6735
9,2026,size,1,r2,0.2026
9,2026,size,2,r2,0.3613
9,2026,size,3,r2,0.4919
9,2026,size,4,r2,0.5574
9,2026,size,mean,r2,0.4573
10,2026,size,0,r2,0.653
10,2026,size,1,r2,0.2584
10,2026,size,2,r2,0.3842
10,2026,size,3,r2,0.4813
10,2026,size,4,r2,0.5469
10,2026,size,mean,r2,0.4647
1,2027,size,0,r2,0.4896
1,2027,size,1,r2,0.1244
1,2027,size,2,r2,0.2791
1,2027,size,3,r2,0.3708
1,2027,size,4,r2,0.4042
1,2027,size,mean,r2,0.3336
2,2027,size,0,r2,0.5556
2,2027,size,1,r2,0.1415
2,2027,size,2,r2,0.272
2,2027,size,3,r2,0.378
2,2027,size,4,r2,0.4674
2,2027,size,mean,r2,0.3629
3,2027,size,0,r2,0.6047
3,2027,size,1,r2,0.1871
3,2027,size,2,r2,0.3391
3,2027,size,3,r2,0.4442
3,2027,size,4,r2,0.5034
