epoch,seed,family,target,metric,score
1,2026,density,0,r2,0.2784
1,2026,density,1,r2,0.1212
1,2026,density,2,r2,0.7367
1,2026,density,3,r2,0.6637
1,2026,density,mean,r2,0.45
2,2026,density,0,r2,0.3415
2,2026,density,1,r2,0.1491
2,2026,density,2,r2,0.7718
2,2026,density,3,r2,0.7158
2,2026,density,mean,r2,0.4946
3,2026,density,0,r2,0.358
3,2026,density,1,r2,0.18
3,2026,density,2,r2,0.7805
3,2026,density,3,r2,0.7236
3,2026,density,mean,r2,0.5105
4,2026,density,0,r2,0.3483
4,2026,density,1,r2,0.1536
4,2026,density,2,r2,0.765
4,2026,density,3,r2,0.7216
4,2026,density,mean,r2,0.4971
5,2026,density,0,r2,0.3539
5,2026,density,1,r2,0.1726
5,2026,density,2,r2,0.7981
5,2026,density,3,r2,0.7472
5,2026,density,mean,r2,0.5179
6,2026,density,0,r2,0.4137
6,2026,density,1,r2,0.1729
6,2026,density,2,r2,0.8096
6,2026,density,3,r2,0.7483
6,2026,density,mean,r2,0.5361
7,2026,density,0,r2,0.4067
7,2026,density,1,r2,0.2008
7,2026,density,2,r2,0.785
7,2026,density,3,r2,0.7397
7,2026,density,mean,r2,0.5331
8,2026,density,0,r2,0.412
8,2026,density,1,r2,0.2125
8,2026,density,2,r2,0.8092
8,2026,density,3,r2,0.7648
8,2026,density,mean,r2,0.5496
9,2026,density,0,r2,0.4217
9,2026,density,1,r2,0.2091
9,2026,density,2,r2,0.8118
9,2026,density,3,r2,0.7423
9,2026,density,mean,r2,0.5462
10,2026,density,0,r2,0.4436
10,2026,density,1,r2,0.2079
10,2026,density,2,r2,0.8072
10,2026,density,3,r2,0.7691
10,2026,density,mean,r2,0.5569
1,2027,density,0,r2,0.2826
1,2027,density,1,r2,0.1334
1,2027,density,2,r2,0.7281
1,2027,density,3,r2,0.6596
1,2027,density,mean,r2,0.4509
2,2027,density,0,r2,0.3328
2,2027,density,1,r2,0.1592
2,2027,density,2,r2,0.7487
2,2027,density,3,r2,0.6942
2,2027,density,mean,r2,0.4837
3,2027,density,0,r2,0.3566
3,2027,density,1,r2,0.1629
3,2027,density,2,r2,0.7828
3,2027,density,3,r2,0.7252
3,2027,density,mean,r2,0.5069
4,2027,density,0,r2,0.3581
4,2027,density,1,r2,0.1792
4,2027,density,2,r2,0.7689
4,2027,density,3,r2,0.7168
4,2027,density,mean,r2,0.5057
5,2027,density,0,r2,0.4076
5,2027,density,1,r2,0.1901
5,2027,density,2,r2,0.8092
5,2027,density,3,r2,0.7582
5,2027,density,mean,r2,0.5413
6,2027,density,0,r2,0.3968
6,2027,density,1,r2,0.172
6,2027,density,2,r2,0.7674
6,2027,density,3,r2,0.738
6,2027,density,mean,r2,0.5186
7,2027,density,0,r2,0.4171
7,2027,density,1,r2,0.1943
7,2027,density,2,r2,0.8253
7,2027,density,3,r2,0.7593
7,2027,density,mean,r2,0.549
8,2027,density,0,r2,0.4257
8,2027,density,1,r2,0.2136
8,2027,density,2,r2,0.8202
8,2027,density,3,r2,0.7598
8,2027,density,mean,r2,0.5549
9,2027,density,0,r2,0.4139
9,2027,density,1,r2,0.2096
9,2027,density,2,r2,0.8306
9,2027,density,3,r2,0.7749
9,2027,density,mean,r2,0.5572
10,2027,density,0,r2,0.3987
10,2027,density,1,r2,0.1427
10,2027,density,2,r2,0.7991
10,2027,density,3,r2,0.7621
10,2027,density,mean,r2,0.5257
1,2028,density,0,r2,0.2552
1,2028,density,1,r2,0.1121
1,2028,density,2,r2,0.5836
1,2028,density,3,r2,0.48
1,2028,density,mean,r2,0.3577
2,2028,density,0,r2,0.3623
2,2028,density,1,r2,0.1599
2,2028,density,2,r2,0.7399
2,2028,density,3,r2,0.6797
2,2028,density,mean,r2,0.4855
3,2028,density,0,r2,0.372
3,2028,density,1,r2,0.1559
3,2028,density,2,r2,0.768
3,2028,density,3,r2,0.7182
3,2028,density,mean,r2,0.5035
4,2028,density,0,r2,0.3866
4,2028,density,1,r2,0.1729
4,2028,density,2,r2,0.7812
4,2028,density,3,r2,0.7238
4,2028,density,mean,r2,0.5161
5,2028,density,0,r2,0.4063
5,2028,density,1,r2,0.1928
5,2028,density,2,r2,0.7856
5,2028,density,3,r2,0.7272
5,2028,density,mean,r2,0.528
6,2028,density,0,r2,0.4166
6,2028,density,1,r2,0.2065
6,2028,density,2,r2,0.8076
6,2028,density,3,r2,0.7482
6,2028,density,mean,r2,0.5447
7,2028,density,0,r2,0.3518
7,2028,density,1,r2,0.1724
7,2028,density,2,r2,0.8089
7,2028,density,3,r2,0.753
7,2028,density,mean,r2,0.5215
8,2028,density,0,r2,0.4158
8,2028,density,1,r2,0.2228
8,2028,density,2,r2,0.8074
8,2028,density,3,r2,0.7205
8,2028,density,mean,r2,0.5416
9,2028,density,0,r2,0.41
9,2028,density,1,r2,0.2063
9,2028,density,2,r2,0.824
9,2028,density,3,r2,0.7535
9,2028,density,mean,r2,0.5485
10,2028,density,0,r2,0.3085
10,2028,density,1,r2,0.2103
10,2028,density,2,r2,0.825
10,2028,density,3,r2,0.7654
10,2028,density,mean,r2,0.5273
