epoch,seed,family,target,metric,score
1,2026,disease,Medical material,auroc,0.6738
1,2026,disease,Arterial wall calcification,auroc,0.7534
1,2026,disease,Cardiomegaly,auroc,0.8235
1,2026,disease,Pericardial effusion,auroc,0.7363
1,2026,disease,Coronary artery wall calcification,auroc,0.7407
1,2026,disease,Hiatal hernia,auroc,0.6715
1,2026,disease,Lymphadenopathy,auroc,0.6476
1,2026,disease,Emphysema,auroc,0.6325
1,2026,disease,Atelectasis,auroc,0.6473
1,2026,disease,Lung nodule,auroc,0.5869
1,2026,disease,Lung opacity,auroc,0.655
1,2026,disease,Pulmonary fibrotic sequela,auroc,0.5734
1,2026,disease,Pleural effusion,auroc,0.8726
1,2026,disease,Mosaic attenuation pattern,auroc,0.7558
1,2026,disease,Peribronchial thickening,auroc,0.647
1,2026,disease,Consolidation,auroc,0.6971
1,2026,disease,Bronchiectasis,auroc,0.6075
1,2026,disease,Interlobular septal thickening,auroc,0.75
1,2026,disease,macro,auroc,0.6929
1,2026,disease,micro,auroc,0.7022
2,2026,disease,Medical material,auroc,0.6916
2,2026,disease,Arterial wall calcification,auroc,0.773
2,2026,disease,Cardiomegaly,auroc,0.8479
2,2026,disease,Pericardial effusion,auroc,0.7593
2,2026,disease,Coronary artery wall calcification,auroc,0.7548
2,2026,disease,Hiatal hernia,auroc,0.681
2,2026,disease,Lymphadenopathy,auroc,0.6612
2,2026,disease,Emphysema,auroc,0.6537
2,2026,disease,Atelectasis,auroc,0.6572
2,2026,disease,Lung nodule,auroc,0.6023
2,2026,disease,Lung opacity,auroc,0.6559
2,2026,disease,Pulmonary fibrotic sequela,auroc,0.5783
2,2026,disease,Pleural effusion,auroc,0.8908
2,2026,disease,Mosaic attenuation pattern,auroc,0.7752
2,2026,disease,Peribronchial thickening,auroc,0.6775
2,2026,disease,Consolidation,auroc,0.7103
2,2026,disease,Bronchiectasis,auroc,0.6276
2,2026,disease,Interlobular septal thickening,auroc,0.7629
2,2026,disease,macro,auroc,0.7089
2,2026,disease,micro,auroc,0.7123
3,2026,disease,Medical material,auroc,0.686
3,2026,disease,Arterial wall calcification,auroc,0.7887
3,2026,disease,Cardiomegaly,auroc,0.8618
3,2026,disease,Pericardial effusion,auroc,0.7665
3,2026,disease,Coronary artery wall calcification,auroc,0.7722
3,2026,disease,Hiatal hernia,auroc,0.6858
3,2026,disease,Lymphadenopathy,auroc,0.6641
3,2026,disease,Emphysema,auroc,0.6767
3,2026,disease,Atelectasis,auroc,0.6688
3,2026,disease,Lung nodule,auroc,0.6029
3,2026,disease,Lung opacity,auroc,0.6567
3,2026,disease,Pulmonary fibrotic sequela,auroc,0.586
3,2026,disease,Pleural effusion,auroc,0.8985
3,2026,disease,Mosaic attenuation pattern,auroc,0.7855
3,2026,disease,Peribronchial thickening,auroc,0.7024
3,2026,disease,Consolidation,auroc,0.7169
3,2026,disease,Bronchiectasis,auroc,0.638
3,2026,disease,Interlobular septal thickening,auroc,0.7631
3,2026,disease,macro,auroc,0.7178
3,2026,disease,micro,auroc,0.7179
4,2026,disease,Medical material,auroc,0.6961
4,2026,disease,Arterial wall calcification,auroc,0.7977
4,2026,disease,Cardiomegaly,auroc,0.8697
4,2026,disease,Pericardial effusion,auroc,0.7761
4,2026,disease,Coronary artery wall calcification,auroc,0.7817
4,2026,disease,Hiatal hernia,auroc,0.6974
4,2026,disease,Lymphadenopathy,auroc,0.6708
4,2026,disease,Emphysema,auroc,0.6903
4,2026,disease,Atelectasis,auroc,0.6691
4,2026,disease,Lung nodule,auroc,0.6076
4,2026,disease,Lung opacity,auroc,0.6548
4,2026,disease,Pulmonary fibrotic sequela,auroc,0.5918
4,2026,disease,Pleural effusion,auroc,0.9069
4,2026,disease,Mosaic attenuation pattern,auroc,0.7867
4,2026,disease,Peribronchial thickening,auroc,0.721
4,2026,disease,Consolidation,auroc,0.7217
4,2026,disease,Bronchiectasis,auroc,0.6547
4,2026,disease,Interlobular septal thickening,auroc,0.7716
4,2026,disease,macro,auroc,0.7259
4,2026,disease,micro,auroc,0.721
5,2026,disease,Medical material,auroc,0.7058
5,2026,disease,Arterial wall calcification,auroc,0.7987
5,2026,disease,Cardiomegaly,auroc,0.8691
5,2026,disease,Pericardial effusion,auroc,0.7764
5,2026,disease,Coronary artery wall calcification,auroc,0.7821
5,2026,disease,Hiatal hernia,auroc,0.6909
5,2026,disease,Lymphadenopathy,auroc,0.672
5,2026,disease,Emphysema,auroc,0.6965
5,2026,disease,Atelectasis,auroc,0.667
5,2026,disease,Lung nodule,auroc,0.6073
5,2026,disease,Lung opacity,auroc,0.6542
5,2026,disease,Pulmonary fibrotic sequela,auroc,0.5943
5,2026,disease,Pleural effusion,auroc,0.9077
5,2026,disease,Mosaic attenuation pattern,auroc,0.7848
5,2026,disease,Peribronchial thickening,auroc,0.729
5,2026,disease,Consolidation,auroc,0.7166
5,2026,disease,Bronchiectasis,auroc,0.6574
5,2026,disease,Interlobular septal thickening,auroc,0.772
5,2026,disease,macro,auroc,0.7268
5,2026,disease,micro,auroc,0.7239
6,2026,disease,Medical material,auroc,0.6954
6,2026,disease,Arterial wall calcification,auroc,0.8075
6,2026,disease,Cardiomegaly,auroc,0.8787
6,2026,disease,Pericardial effusion,auroc,0.7797
6,2026,disease,Coronary artery wall calcification,auroc,0.7915
6,2026,disease,Hiatal hernia,auroc,0.7028
6,2026,disease,Lymphadenopathy,auroc,0.6772
6,2026,disease,Emphysema,auroc,0.697
6,2026,disease,Atelectasis,auroc,0.6739
6,2026,disease,Lung nodule,auroc,0.6105
6,2026,disease,Lung opacity,auroc,0.6556
6,2026,disease,Pulmonary fibrotic sequela,auroc,0.5991
6,2026,disease,Pleural effusion,auroc,0.9122
6,2026,disease,Mosaic attenuation pattern,auroc,0.7903
6,2026,disease,Peribronchial thickening,auroc,0.7294
6,2026,disease,Consolidation,auroc,0.7221
6,2026,disease,Bronchiectasis,auroc,0.6623
6,2026,disease,Interlobular septal thickening,auroc,0.7751
6,2026,disease,macro,auroc,0.7311
6,2026,disease,micro,auroc,0.722
7,2026,disease,Medical material,auroc,0.7
7,2026,disease,Arterial wall calcification,auroc,0.8128
7,2026,disease,Cardiomegaly,auroc,0.884
7,2026,disease,Pericardial effusion,auroc,0.7878
7,2026,disease,Coronary artery wall calcification,auroc,0.7987
7,2026,disease,Hiatal hernia,auroc,0.7075
7,2026,disease,Lymphadenopathy,auroc,0.6772
7,2026,disease,Emphysema,auroc,0.7067
7,2026,disease,Atelectasis,auroc,0.6799
7,2026,disease,Lung nodule,auroc,0.6101
7,2026,disease,Lung opacity,auroc,0.6539
7,2026,disease,Pulmonary fibrotic sequela,auroc,0.6108
7,2026,disease,Pleural effusion,auroc,0.9138
7,2026,disease,Mosaic attenuation pattern,auroc,0.7868
7,2026,disease,Peribronchial thickening,auroc,0.7301
7,2026,disease,Consolidation,auroc,0.7295
7,2026,disease,Bronchiectasis,auroc,0.6676
7,2026,disease,Interlobular septal thickening,auroc,0.7775
7,2026,disease,macro,auroc,0.7353
7,2026,disease,micro,auroc,0.7353
8,2026,disease,Medical material,auroc,0.7053
8,2026,disease,Arterial wall calcification,auroc,0.8118
8,2026,disease,Cardiomegaly,auroc,0.8824
8,2026,disease,Pericardial effusion,auroc,0.778
8,2026,disease,Coronary artery wall calcification,auroc,0.7973
8,2026,disease,Hiatal hernia,auroc,0.6989
8,2026,disease,Lymphadenopathy,auroc,0.6777
8,2026,disease,Emphysema,auroc,0.7003
8,2026,disease,Atelectasis,auroc,0.6789
8,2026,disease,Lung nodule,auroc,0.6098
8,2026,disease,Lung opacity,auroc,0.6563
8,2026,disease,Pulmonary fibrotic sequela,auroc,0.6009
8,2026,disease,Pleural effusion,auroc,0.9134
8,2026,disease,Mosaic attenuation pattern,auroc,0.7913
8,2026,disease,Peribronchial thickening,auroc,0.7316
8,2026,disease,Consolidation,auroc,0.7305
8,2026,disease,Bronchiectasis,auroc,0.6643
8,2026,disease,Interlobular septal thickening,auroc,0.777
8,2026,disease,macro,auroc,0.7336
8,2026,disease,micro,auroc,0.7182
9,2026,disease,Medical material,auroc,0.6957
9,2026,disease,Arterial wall calcification,auroc,0.8106
9,2026,disease,Cardiomegaly,auroc,0.8813
9,2026,disease,Pericardial effusion,auroc,0.7804
9,2026,disease,Coronary artery wall calcification,auroc,0.7979
9,2026,disease,Hiatal hernia,auroc,0.708
9,2026,disease,Lymphadenopathy,auroc,0.6773
9,2026,disease,Emphysema,auroc,0.6995
9,2026,disease,Atelectasis,auroc,0.6769
9,2026,disease,Lung nodule,auroc,0.6122
9,2026,disease,Lung opacity,auroc,0.6522
9,2026,disease,Pulmonary fibrotic sequela,auroc,0.6075
9,2026,disease,Pleural effusion,auroc,0.9142
9,2026,disease,Mosaic attenuation pattern,auroc,0.7899
9,2026,disease,Peribronchial thickening,auroc,0.7292
9,2026,disease,Consolidation,auroc,0.7237
9,2026,disease,Bronchiectasis,auroc,0.669
9,2026,disease,Interlobular septal thickening,auroc,0.7775
9,2026,disease,macro,auroc,0.7335
9,2026,disease,micro,auroc,0.7301
10,2026,disease,Medical material,auroc,0.7017
10,2026,disease,Arterial wall calcification,auroc,0.8121
10,2026,disease,Cardiomegaly,auroc,0.882
10,2026,disease,Pericardial effusion,auroc,0.7803
10,2026,disease,Coronary artery wall calcification,auroc,0.7989
10,2026,disease,Hiatal hernia,auroc,0.7107
10,2026,disease,Lymphadenopathy,auroc,0.679
10,2026,disease,Emphysema,auroc,0.7078
10,2026,disease,Atelectasis,auroc,0.6773
10,2026,disease,Lung nodule,auroc,0.615
10,2026,disease,Lung opacity,auroc,0.6576
10,2026,disease,Pulmonary fibrotic sequela,auroc,0.6177
10,2026,disease,Pleural effusion,auroc,0.9156
10,2026,disease,Mosaic attenuation pattern,auroc,0.7914
10,2026,disease,Peribronchial thickening,auroc,0.7322
10,2026,disease,Consolidation,auroc,0.7296
10,2026,disease,Bronchiectasis,auroc,0.6751
10,2026,disease,Interlobular septal thickening,auroc,0.7754
10,2026,disease,macro,auroc,0.7366
10,2026,disease,micro,auroc,0.7393
1,2027,disease,Medical material,auroc,0.6921
1,2027,disease,Arterial wall calcification,auroc,0.7514
1,2027,disease,Cardiomegaly,auroc,0.8194
1,2027,disease,Pericardial effusion,auroc,0.7456
1,2027,disease,Coronary artery wall calcification,auroc,0.7405
1,2027,disease,Hiatal hernia,auroc,0.655
1,2027,disease,Lymphadenopathy,auroc,0.6512
1,2027,disease,Emphysema,auroc,0.624
1,2027,disease,Atelectasis,auroc,0.6437
1,2027,disease,Lung nodule,auroc,0.5723
1,2027,disease,Lung opacity,auroc,0.6558
1,2027,disease,Pulmonary fibrotic sequela,auroc,0.5774
1,2027,disease,Pleural effusion,auroc,0.876
1,2027,disease,Mosaic attenuation pattern,auroc,0.7409
1,2027,disease,Peribronchial thickening,auroc,0.6582
1,2027,disease,Consolidation,auroc,0.7009
